Year,Units,type of waste treatment,Value
2010,a) hazardous waste generated per capita (kg per capita),,244.0
2011,a) hazardous waste generated per capita (kg per capita),,
2012,a) hazardous waste generated per capita (kg per capita),,273.0
2013,a) hazardous waste generated per capita (kg per capita),,
2014,a) hazardous waste generated per capita (kg per capita),,269.0
2015,a) hazardous waste generated per capita (kg per capita),,
2016,a) hazardous waste generated per capita (kg per capita),,279.0
2017,a) hazardous waste generated per capita (kg per capita),,
2018,a) hazardous waste generated per capita (kg per capita),,
2010,b) hazardous waste treated (%),,100.0
2011,b) hazardous waste treated (%),,
2012,b) hazardous waste treated (%),,100.0
2013,b) hazardous waste treated (%),,
2014,b) hazardous waste treated (%),,100.0
2015,b) hazardous waste treated (%),,
2016,b) hazardous waste treated (%),,100.0
2017,b) hazardous waste treated (%),,
2018,b) hazardous waste treated (%),,
2010,b) hazardous waste treated (%),deposit onto or into land and land treatment and release into water bodies,20.9
2011,b) hazardous waste treated (%),deposit onto or into land and land treatment and release into water bodies,
2012,b) hazardous waste treated (%),deposit onto or into land and land treatment and release into water bodies,23.1
2013,b) hazardous waste treated (%),deposit onto or into land and land treatment and release into water bodies,
2014,b) hazardous waste treated (%),deposit onto or into land and land treatment and release into water bodies,22.7
2015,b) hazardous waste treated (%),deposit onto or into land and land treatment and release into water bodies,
2016,b) hazardous waste treated (%),deposit onto or into land and land treatment and release into water bodies,24.3
2017,b) hazardous waste treated (%),deposit onto or into land and land treatment and release into water bodies,
2018,b) hazardous waste treated (%),deposit onto or into land and land treatment and release into water bodies,
2010,b) hazardous waste treated (%),energy recovery,13.6
2011,b) hazardous waste treated (%),energy recovery,
2012,b) hazardous waste treated (%),energy recovery,15.0
2013,b) hazardous waste treated (%),energy recovery,
2014,b) hazardous waste treated (%),energy recovery,13.6
2015,b) hazardous waste treated (%),energy recovery,
2016,b) hazardous waste treated (%),energy recovery,13.7
2017,b) hazardous waste treated (%),energy recovery,
2018,b) hazardous waste treated (%),energy recovery,
2010,b) hazardous waste treated (%),incineration,5.9
2011,b) hazardous waste treated (%),incineration,
2012,b) hazardous waste treated (%),incineration,5.4
2013,b) hazardous waste treated (%),incineration,
2014,b) hazardous waste treated (%),incineration,6.2
2015,b) hazardous waste treated (%),incineration,
2016,b) hazardous waste treated (%),incineration,4.9
2017,b) hazardous waste treated (%),incineration,
2018,b) hazardous waste treated (%),incineration,
2010,b) hazardous waste treated (%),recovery other than energy recovery,59.6
2011,b) hazardous waste treated (%),recovery other than energy recovery,
2012,b) hazardous waste treated (%),recovery other than energy recovery,56.5
2013,b) hazardous waste treated (%),recovery other than energy recovery,
2014,b) hazardous waste treated (%),recovery other than energy recovery,57.6
2015,b) hazardous waste treated (%),recovery other than energy recovery,
2016,b) hazardous waste treated (%),recovery other than energy recovery,57.1
2017,b) hazardous waste treated (%),recovery other than energy recovery,
2018,b) hazardous waste treated (%),recovery other than energy recovery,
