Year,Units,Value
2010,above-ground biomass stock in forest (mn t),1571.0
2011,above-ground biomass stock in forest (mn t),1584.9
2012,above-ground biomass stock in forest (mn t),1598.2
2013,above-ground biomass stock in forest (mn t),1611.9
2014,above-ground biomass stock in forest (mn t),1636.4
2015,above-ground biomass stock in forest (mn t),1642.1
2016,above-ground biomass stock in forest (mn t),1650.6
2017,above-ground biomass stock in forest (mn t),1658.8
2018,above-ground biomass stock in forest (mn t),
2010,forest area located within protected areas (%),
2011,forest area located within protected areas (%),
2012,forest area located within protected areas (%),0.68
2013,forest area located within protected areas (%),
2014,forest area located within protected areas (%),
2015,forest area located within protected areas (%),
2016,forest area located within protected areas (%),
2017,forest area located within protected areas (%),
2018,forest area located within protected areas (%),
2010,forest area net change rate (%),
2011,forest area net change rate (%),0.1
2012,forest area net change rate (%),0.2
2013,forest area net change rate (%),0.9
2014,forest area net change rate (%),0.2
2015,forest area net change rate (%),0.2
2016,forest area net change rate (%),-3.2
2017,forest area net change rate (%),0.2
2018,forest area net change rate (%),
2010,forest area under an independently verified forest management certification scheme (%),67.5
2011,forest area under an independently verified forest management certification scheme (%),67.2
2012,forest area under an independently verified forest management certification scheme (%),66.9
2013,forest area under an independently verified forest management certification scheme (%),66.9
2014,forest area under an independently verified forest management certification scheme (%),66.6
2015,forest area under an independently verified forest management certification scheme (%),66.2
2016,forest area under an independently verified forest management certification scheme (%),66.8
2017,forest area under an independently verified forest management certification scheme (%),67.2
2018,forest area under an independently verified forest management certification scheme (%),
