Year,Units,timeseries,classification,Value
2015,%,mountain green cover index,,93.24
2018,%,mountain green cover index,,93.11
2015,%,mountain green cover index,class 3 areas (elevation 2500-3500 meters),0.0
2018,%,mountain green cover index,class 3 areas (elevation 2500-3500 meters),0.0
2015,%,mountain green cover index,class 4 areas (elevation 1500-2500 meters),66.88
2018,%,mountain green cover index,class 4 areas (elevation 1500-2500 meters),66.16
2015,%,mountain green cover index,class 5 areas (elevation 1000-1500 meters),96.63
2018,%,mountain green cover index,class 5 areas (elevation 1000-1500 meters),95.93
2015,%,mountain green cover index,class 6 areas (elevation  300 -1000 meters),93.35
2018,%,mountain green cover index,class 6 areas (elevation  300 -1000 meters),93.25
