Year,Units,Value
2010,a) ODA (gross disbursements) for biodiversity,531.4
2011,a) ODA (gross disbursements) for biodiversity,1046.6
2012,a) ODA (gross disbursements) for biodiversity,887.0
2013,a) ODA (gross disbursements) for biodiversity,868.4
2014,a) ODA (gross disbursements) for biodiversity,1047.5
2015,a) ODA (gross disbursements) for biodiversity,1165.6
2016,a) ODA (gross disbursements) for biodiversity,
2017,a) ODA (gross disbursements) for biodiversity,
2018,a) ODA (gross disbursements) for biodiversity,
2010,b) Environmental protection expenditure,51751.0
2011,b) Environmental protection expenditure,54919.0
2012,b) Environmental protection expenditure,56723.0
2013,b) Environmental protection expenditure,58605.0
2014,b) Environmental protection expenditure,62605.0
2015,b) Environmental protection expenditure,62099.0
2016,b) Environmental protection expenditure,
2017,b) Environmental protection expenditure,
2018,b) Environmental protection expenditure,
