Year,Units,timeseries,Value
2010,number,documents issued for the import and export of protected species,22601
2011,number,documents issued for the import and export of protected species,20687
2012,number,documents issued for the import and export of protected species,21045
2013,number,documents issued for the import and export of protected species,21364
2014,number,documents issued for the import and export of protected species,23170
2015,number,documents issued for the import and export of protected species,23093
2016,number,documents issued for the import and export of protected species,24248
2017,number,documents issued for the import and export of protected species,29644
2018,number,documents issued for the import and export of protected species,31830
2010,number,seizures by authorities concerning the protection of species,1365
2011,number,seizures by authorities concerning the protection of species,1208
2012,number,seizures by authorities concerning the protection of species,1112
2013,number,seizures by authorities concerning the protection of species,1105
2014,number,seizures by authorities concerning the protection of species,852
2015,number,seizures by authorities concerning the protection of species,1301
2016,number,seizures by authorities concerning the protection of species,915
2017,number,seizures by authorities concerning the protection of species,934
2018,number,seizures by authorities concerning the protection of species,1294
