Year,Units,timeseries,sex,Value
2015,%,population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),,4.7
2017,%,population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),,3.7
2010,number,private persons (donors) suspected in the context of corruption offences,,354.0
2011,number,private persons (donors) suspected in the context of corruption offences,,295.0
2012,number,private persons (donors) suspected in the context of corruption offences,,163.0
2013,number,private persons (donors) suspected in the context of corruption offences,,222.0
2014,number,private persons (donors) suspected in the context of corruption offences,,121.0
2015,number,private persons (donors) suspected in the context of corruption offences,,148.0
2015,%,population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),female,4.9
2017,%,population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),female,3.8
2015,%,population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),male,4.4
2017,%,population who had the impression that public officials are corruptible (during their interactions with public agencies in the previous two years),male,3.6
