Year,Units,timeseries,Value
2010,"mn usd, constant prices (2016)",oda and oof (commitments) to developing countries for capacity building and national planning (without south-south cooperation),1115.4
2011,"mn usd, constant prices (2016)",oda and oof (commitments) to developing countries for capacity building and national planning (without south-south cooperation),974.9
2012,"mn usd, constant prices (2016)",oda and oof (commitments) to developing countries for capacity building and national planning (without south-south cooperation),878.6
2013,"mn usd, constant prices (2016)",oda and oof (commitments) to developing countries for capacity building and national planning (without south-south cooperation),972.6
2014,"mn usd, constant prices (2016)",oda and oof (commitments) to developing countries for capacity building and national planning (without south-south cooperation),1275.0
2015,"mn usd, constant prices (2016)",oda and oof (commitments) to developing countries for capacity building and national planning (without south-south cooperation),1768.3
2016,"mn usd, constant prices (2016)",oda and oof (commitments) to developing countries for capacity building and national planning (without south-south cooperation),1413.7
2017,"mn usd, constant prices (2016)",oda and oof (commitments) to developing countries for capacity building and national planning (without south-south cooperation),2331.7
2010,"mn usd, constant prices (2016)",oda and oof (gross disbursements) to developing countries for capacity building and national planning (without south-south cooperation),821.9
2011,"mn usd, constant prices (2016)",oda and oof (gross disbursements) to developing countries for capacity building and national planning (without south-south cooperation),847.9
2012,"mn usd, constant prices (2016)",oda and oof (gross disbursements) to developing countries for capacity building and national planning (without south-south cooperation),882.1
2013,"mn usd, constant prices (2016)",oda and oof (gross disbursements) to developing countries for capacity building and national planning (without south-south cooperation),954.0
2014,"mn usd, constant prices (2016)",oda and oof (gross disbursements) to developing countries for capacity building and national planning (without south-south cooperation),1062.0
2015,"mn usd, constant prices (2016)",oda and oof (gross disbursements) to developing countries for capacity building and national planning (without south-south cooperation),1459.0
2016,"mn usd, constant prices (2016)",oda and oof (gross disbursements) to developing countries for capacity building and national planning (without south-south cooperation),1338.5
2017,"mn usd, constant prices (2016)",oda and oof (gross disbursements) to developing countries for capacity building and national planning (without south-south cooperation),1673.6
