Year,age,sex,Value
2010,15 to under 25 years,,75.84
2011,15 to under 25 years,,76.79
2012,15 to under 25 years,,77.86
2013,15 to under 25 years,,78.71
2014,15 to under 25 years,,78.93
2015,15 to under 25 years,,79.76
2016,15 to under 25 years,,79.13
2017,15 to under 25 years,,79.6
2018,15 to under 25 years,,79.61
2010,15 to under 25 years,female,76.75
2011,15 to under 25 years,female,77.78
2012,15 to under 25 years,female,78.68
2013,15 to under 25 years,female,79.21
2014,15 to under 25 years,female,79.41
2015,15 to under 25 years,female,80.14
2016,15 to under 25 years,female,79.49
2017,15 to under 25 years,female,80.22
2018,15 to under 25 years,female,80.65
2010,15 to under 25 years,male,74.95
2011,15 to under 25 years,male,75.84
2012,15 to under 25 years,male,77.08
2013,15 to under 25 years,male,78.24
2014,15 to under 25 years,male,78.47
2015,15 to under 25 years,male,79.4
2016,15 to under 25 years,male,78.81
2017,15 to under 25 years,male,79.05
2018,15 to under 25 years,male,78.65
2010,25 to under 64 years,,20.51
2011,25 to under 64 years,,21.06
2012,25 to under 64 years,,19.75
2013,25 to under 64 years,,19.56
2014,25 to under 64 years,,19.49
2015,25 to under 64 years,,19.96
2016,25 to under 64 years,,20.63
2017,25 to under 64 years,,19.73
2018,25 to under 64 years,,19.36
2010,25 to under 64 years,female,19.81
2011,25 to under 64 years,female,20.23
2012,25 to under 64 years,female,19.11
2013,25 to under 64 years,female,19.04
2014,25 to under 64 years,female,19.02
2015,25 to under 64 years,female,19.43
2016,25 to under 64 years,female,20.03
2017,25 to under 64 years,female,19.17
2018,25 to under 64 years,female,18.89
2010,25 to under 64 years,male,21.2
2011,25 to under 64 years,male,21.89
2012,25 to under 64 years,male,20.39
2013,25 to under 64 years,male,20.09
2014,25 to under 64 years,male,19.95
2015,25 to under 64 years,male,20.48
2016,25 to under 64 years,male,21.22
2017,25 to under 64 years,male,20.27
2018,25 to under 64 years,male,19.83
