Year,age,activities,Value
2014,16 to 24 years,copied or moved a file and folder,94
2015,16 to 24 years,copied or moved a file and folder,87
2016,16 to 24 years,copied or moved a file and folder,86
2017,16 to 24 years,copied or moved a file and folder,84
2019,16 to 24 years,copied or moved a file and folder,82
2015,16 to 24 years,installed software or applications (apps),87
2016,16 to 24 years,installed software or applications (apps),89
2017,16 to 24 years,installed software or applications (apps),86
2019,16 to 24 years,installed software or applications (apps),88
2015,16 to 24 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",35
2016,16 to 24 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",34
2017,16 to 24 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",36
2019,16 to 24 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",34
2014,16 to 24 years,transferred files between computer and other devices,91
2015,16 to 24 years,transferred files between computer and other devices,86
2016,16 to 24 years,transferred files between computer and other devices,85
2017,16 to 24 years,transferred files between computer and other devices,83
2019,16 to 24 years,transferred files between computer and other devices,80
2015,16 to 24 years,written code in a programming language,12
2016,16 to 24 years,written code in a programming language,13
2017,16 to 24 years,written code in a programming language,12
2019,16 to 24 years,written code in a programming language,14
2014,16 to 74 years,copied or moved a file and folder,76
2015,16 to 74 years,copied or moved a file and folder,68
2016,16 to 74 years,copied or moved a file and folder,68
2017,16 to 74 years,copied or moved a file and folder,69
2019,16 to 74 years,copied or moved a file and folder,71
2015,16 to 74 years,installed software or applications (apps),60
2016,16 to 74 years,installed software or applications (apps),63
2017,16 to 74 years,installed software or applications (apps),62
2019,16 to 74 years,installed software or applications (apps),68
2015,16 to 74 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",32
2016,16 to 74 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",31
2017,16 to 74 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",33
2019,16 to 74 years,"used spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",33
2014,16 to 74 years,transferred files between computer and other devices,65
2015,16 to 74 years,transferred files between computer and other devices,60
2016,16 to 74 years,transferred files between computer and other devices,62
2017,16 to 74 years,transferred files between computer and other devices,64
2019,16 to 74 years,transferred files between computer and other devices,66
2015,16 to 74 years,written code in a programming language,6
2016,16 to 74 years,written code in a programming language,6
2017,16 to 74 years,written code in a programming language,6
2019,16 to 74 years,written code in a programming language,6
