Year,timeseries,Value
2010,"co2 emission (without land use, land-use change and forestry) per real gdp (g/eur (constant 2010))",322.6
2011,"co2 emission (without land use, land-use change and forestry) per real gdp (g/eur (constant 2010))",302.8
2012,"co2 emission (without land use, land-use change and forestry) per real gdp (g/eur (constant 2010))",302.9
2013,"co2 emission (without land use, land-use change and forestry) per real gdp (g/eur (constant 2010))",307.9
2014,"co2 emission (without land use, land-use change and forestry) per real gdp (g/eur (constant 2010))",287.3
2015,"co2 emission (without land use, land-use change and forestry) per real gdp (g/eur (constant 2010))",283.5
2016,"co2 emission (without land use, land-use change and forestry) per real gdp (g/eur (constant 2010))",279.3
2017,"co2 emission (without land use, land-use change and forestry) per real gdp (g/eur (constant 2010))",272.1
2010,co2 emissions per gross value added (price adjusted) in manufacturing industries (g/eur (constant 2010)),366.1
2011,co2 emissions per gross value added (price adjusted) in manufacturing industries (g/eur (constant 2010)),342.7
2012,co2 emissions per gross value added (price adjusted) in manufacturing industries (g/eur (constant 2010)),334.6
2013,co2 emissions per gross value added (price adjusted) in manufacturing industries (g/eur (constant 2010)),334.2
2014,co2 emissions per gross value added (price adjusted) in manufacturing industries (g/eur (constant 2010)),319.7
2015,co2 emissions per gross value added (price adjusted) in manufacturing industries (g/eur (constant 2010)),310.8
2016,co2 emissions per gross value added (price adjusted) in manufacturing industries (g/eur (constant 2010)),296.8
