Year,Units,region,GeoCode,Value
2010,%,,,2.73
2011,%,,,2.81
2012,%,,,2.88
2013,%,,,2.84
2014,%,,,2.93
2015,%,,,2.93
2016,%,,,2.94
2017,%,,,3.07
2018,%,,,3.13
2010,%,baden-wuerttemberg,code08,4.43
2011,%,baden-wuerttemberg,code08,4.8
2012,%,baden-wuerttemberg,code08,4.92
2013,%,baden-wuerttemberg,code08,4.77
2014,%,baden-wuerttemberg,code08,4.91
2015,%,baden-wuerttemberg,code08,4.94
2016,%,baden-wuerttemberg,code08,4.92
2010,%,bavaria,code09,3.03
2011,%,bavaria,code09,3.0
2012,%,bavaria,code09,3.1
2013,%,bavaria,code09,3.13
2014,%,bavaria,code09,3.17
2015,%,bavaria,code09,3.17
2016,%,bavaria,code09,3.17
2010,%,berlin,code11,3.43
2011,%,berlin,code11,3.34
2012,%,berlin,code11,3.43
2013,%,berlin,code11,3.56
2014,%,berlin,code11,3.65
2015,%,berlin,code11,3.56
2016,%,berlin,code11,3.49
2010,%,brandenburg,code12,1.42
2011,%,brandenburg,code12,1.65
2012,%,brandenburg,code12,1.65
2013,%,brandenburg,code12,1.54
2014,%,brandenburg,code12,1.58
2015,%,brandenburg,code12,1.65
2016,%,brandenburg,code12,1.73
2010,%,bremen,code04,2.64
2011,%,bremen,code04,2.72
2012,%,bremen,code04,2.62
2013,%,bremen,code04,2.71
2014,%,bremen,code04,2.85
2015,%,bremen,code04,2.8
2016,%,bremen,code04,2.84
2010,%,hamburg,code02,2.09
2011,%,hamburg,code02,2.19
2012,%,hamburg,code02,2.24
2013,%,hamburg,code02,2.25
2014,%,hamburg,code02,2.35
2015,%,hamburg,code02,2.24
2016,%,hamburg,code02,2.22
2010,%,hesse,code06,2.98
2011,%,hesse,code06,2.9
2012,%,hesse,code06,3.01
2013,%,hesse,code06,2.81
2014,%,hesse,code06,2.88
2015,%,hesse,code06,2.82
2016,%,hesse,code06,2.88
2010,%,lower saxony,code03,2.57
2011,%,lower saxony,code03,2.74
2012,%,lower saxony,code03,2.79
2013,%,lower saxony,code03,2.86
2014,%,lower saxony,code03,2.91
2015,%,lower saxony,code03,3.45
2016,%,lower saxony,code03,3.31
2010,%,mecklenburg western pomerania,code13,1.97
2011,%,mecklenburg western pomerania,code13,2.05
2012,%,mecklenburg western pomerania,code13,2.1
2013,%,mecklenburg western pomerania,code13,1.8
2014,%,mecklenburg western pomerania,code13,1.88
2015,%,mecklenburg western pomerania,code13,1.87
2016,%,mecklenburg western pomerania,code13,1.85
2010,%,north rhine-westphalia,code05,1.94
2011,%,north rhine-westphalia,code05,1.96
2012,%,north rhine-westphalia,code05,2.04
2013,%,north rhine-westphalia,code05,1.93
2014,%,north rhine-westphalia,code05,1.99
2015,%,north rhine-westphalia,code05,1.96
2016,%,north rhine-westphalia,code05,1.98
2010,%,rhineland palatinate,code07,2.01
2011,%,rhineland palatinate,code07,2.0
2012,%,rhineland palatinate,code07,2.01
2013,%,rhineland palatinate,code07,2.12
2014,%,rhineland palatinate,code07,2.14
2015,%,rhineland palatinate,code07,2.35
2016,%,rhineland palatinate,code07,2.44
2010,%,saarland,code10,1.29
2011,%,saarland,code10,1.47
2012,%,saarland,code10,1.46
2013,%,saarland,code10,1.44
2014,%,saarland,code10,1.42
2015,%,saarland,code10,1.54
2016,%,saarland,code10,1.55
2010,%,saxony,code14,2.78
2011,%,saxony,code14,2.8
2012,%,saxony,code14,2.8
2013,%,saxony,code14,2.76
2014,%,saxony,code14,2.67
2015,%,saxony,code14,2.73
2016,%,saxony,code14,2.71
2010,%,saxony-anhalt,code15,1.4
2011,%,saxony-anhalt,code15,1.48
2012,%,saxony-anhalt,code15,1.4
2013,%,saxony-anhalt,code15,1.42
2014,%,saxony-anhalt,code15,1.46
2015,%,saxony-anhalt,code15,1.4
2016,%,saxony-anhalt,code15,1.46
2010,%,schleswig-holstein,code01,1.3
2011,%,schleswig-holstein,code01,1.41
2012,%,schleswig-holstein,code01,1.43
2013,%,schleswig-holstein,code01,1.47
2014,%,schleswig-holstein,code01,1.53
2015,%,schleswig-holstein,code01,1.47
2016,%,schleswig-holstein,code01,1.49
2010,%,thuringia,code16,2.16
2011,%,thuringia,code16,2.12
2012,%,thuringia,code16,2.19
2013,%,thuringia,code16,2.16
2014,%,thuringia,code16,2.13
2015,%,thuringia,code16,2.01
2016,%,thuringia,code16,2.05
