Year,Units,timeseries,Value
2010,"mn usd, constant prices (2016)",oda (gross disbursements) to infrastructure,2346.8
2011,"mn usd, constant prices (2016)",oda (gross disbursements) to infrastructure,2179.1
2012,"mn usd, constant prices (2016)",oda (gross disbursements) to infrastructure,1765.7
2013,"mn usd, constant prices (2016)",oda (gross disbursements) to infrastructure,2381.2
2014,"mn usd, constant prices (2016)",oda (gross disbursements) to infrastructure,3336.5
2015,"mn usd, constant prices (2016)",oda (gross disbursements) to infrastructure,4222.9
2016,"mn usd, constant prices (2016)",oda (gross disbursements) to infrastructure,3653.7
2017,"mn usd, constant prices (2016)",oda (gross disbursements) to infrastructure,3320.2
2010,"mn usd, constant prices (2016)",oda and oof (gross disbursements) to infrastructure,2814.1
2011,"mn usd, constant prices (2016)",oda and oof (gross disbursements) to infrastructure,2543.2
2012,"mn usd, constant prices (2016)",oda and oof (gross disbursements) to infrastructure,2296.0
2013,"mn usd, constant prices (2016)",oda and oof (gross disbursements) to infrastructure,2725.0
2014,"mn usd, constant prices (2016)",oda and oof (gross disbursements) to infrastructure,3715.0
2015,"mn usd, constant prices (2016)",oda and oof (gross disbursements) to infrastructure,4334.6
2016,"mn usd, constant prices (2016)",oda and oof (gross disbursements) to infrastructure,3869.0
2017,"mn usd, constant prices (2016)",oda and oof (gross disbursements) to infrastructure,3573.8
