Year,Zeitreihe,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,.,,,
2011,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,.,,,
2012,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,.,,,
2013,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,.,,,
2014,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,.,,,
2015,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,,20.0
2016,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,,19.8
2017,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,,18.8
2018,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,,18.5
2019,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,,17.3
2020,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,|,,,20.4
2021,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,,21.0
2022,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,,21.1
2023,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,,21.3
2024,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,,21.1
2025,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,,21.2
2010,Von Armut oder sozialer Ausgrenzung bedrohte Personen,5 Jahre und jünger,,.,,,
2011,Von Armut oder sozialer Ausgrenzung bedrohte Personen,5 Jahre und jünger,,.,,,
2012,Von Armut oder sozialer Ausgrenzung bedrohte Personen,5 Jahre und jünger,,.,,,
2013,Von Armut oder sozialer Ausgrenzung bedrohte Personen,5 Jahre und jünger,,.,,,
2014,Von Armut oder sozialer Ausgrenzung bedrohte Personen,5 Jahre und jünger,,.,,,
2015,Von Armut oder sozialer Ausgrenzung bedrohte Personen,5 Jahre und jünger,,,,,21.3
2016,Von Armut oder sozialer Ausgrenzung bedrohte Personen,5 Jahre und jünger,,,,,20.4
2017,Von Armut oder sozialer Ausgrenzung bedrohte Personen,5 Jahre und jünger,,,,,18.6
2018,Von Armut oder sozialer Ausgrenzung bedrohte Personen,5 Jahre und jünger,,,,,17.4
2019,Von Armut oder sozialer Ausgrenzung bedrohte Personen,5 Jahre und jünger,,,,,14.5
2020,Von Armut oder sozialer Ausgrenzung bedrohte Personen,5 Jahre und jünger,,|,,,22.4
2021,Von Armut oder sozialer Ausgrenzung bedrohte Personen,5 Jahre und jünger,,,,,25.3
2022,Von Armut oder sozialer Ausgrenzung bedrohte Personen,5 Jahre und jünger,,,,,24.6
2023,Von Armut oder sozialer Ausgrenzung bedrohte Personen,5 Jahre und jünger,,,,,24.0
2024,Von Armut oder sozialer Ausgrenzung bedrohte Personen,5 Jahre und jünger,,,,,23.2
2025,Von Armut oder sozialer Ausgrenzung bedrohte Personen,5 Jahre und jünger,,,,,24.1
2010,Von Armut oder sozialer Ausgrenzung bedrohte Personen,6 bis unter 12 Jahre,,.,,,
2011,Von Armut oder sozialer Ausgrenzung bedrohte Personen,6 bis unter 12 Jahre,,.,,,
2012,Von Armut oder sozialer Ausgrenzung bedrohte Personen,6 bis unter 12 Jahre,,.,,,
2013,Von Armut oder sozialer Ausgrenzung bedrohte Personen,6 bis unter 12 Jahre,,.,,,
2014,Von Armut oder sozialer Ausgrenzung bedrohte Personen,6 bis unter 12 Jahre,,.,,,
2015,Von Armut oder sozialer Ausgrenzung bedrohte Personen,6 bis unter 12 Jahre,,,,,18.0
