Year,Units,Sektor,Art des Finanzstroms,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Zusagen,,,,566.859
2011,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Zusagen,,,,748.48
2012,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Zusagen,,,,1075.52
2013,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Zusagen,,,,803.379
2014,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Zusagen,,,,696.313
2015,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Zusagen,,,,854.934
2016,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Zusagen,,,,591.005
2017,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Zusagen,,,,1263.616
2018,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Zusagen,,,,1416.619
2019,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Zusagen,,,,1223.479
2020,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Zusagen,,,,1135.461
2021,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Zusagen,,,,1052.936
2022,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Zusagen,,,,1400.488
2023,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Zusagen,,,,698.579
2024,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Zusagen,,,,1393.622
2010,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,367.776
2011,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,64.273
2012,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,76.692
2013,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,228.64
2014,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,138.361
2015,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,668.163
2016,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,946.723
2017,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,421.653
2018,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,52.203
2019,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,793.824
2020,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,798.468
2021,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,642.954
2022,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,527.784
2023,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,839.404
2024,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,541.665
2010,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Zusagen,,,,18.576
2011,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Zusagen,,,,12.374
2012,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Zusagen,,,,9.101
2013,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Zusagen,,,,27.46
2014,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Zusagen,,,,54.694
2015,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Zusagen,,,,28.116
2016,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Zusagen,,,,12.666
2017,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Zusagen,,,,33.175
2018,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Zusagen,,,,11.928
2019,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Zusagen,,,,61.076
2020,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Zusagen,,,,39.841
2021,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Zusagen,,,,150.329
2022,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Zusagen,,,,88.587
2023,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Zusagen,,,,48.214
2024,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Zusagen,,,,38.935
2010,Millionen EUR,"Energieerzeugung, -verteilung und -effizienz",Öffentliche Entwicklungsleistungen,Zusagen,,,,1813.137
2011,Millionen EUR,"Energieerzeugung, -verteilung und -effizienz",Öffentliche Entwicklungsleistungen,Zusagen,,,,1114.534
2012,Millionen EUR,"Energieerzeugung, -verteilung und -effizienz",Öffentliche Entwicklungsleistungen,Zusagen,,,,1043.354
2013,Millionen EUR,"Energieerzeugung, -verteilung und -effizienz",Öffentliche Entwicklungsleistungen,Zusagen,,,,1581.735
2014,Millionen EUR,"Energieerzeugung, -verteilung und -effizienz",Öffentliche Entwicklungsleistungen,Zusagen,,,,2974.079
2015,Millionen EUR,"Energieerzeugung, -verteilung und -effizienz",Öffentliche Entwicklungsleistungen,Zusagen,,,,2001.063
2016,Millionen EUR,"Energieerzeugung, -verteilung und -effizienz",Öffentliche Entwicklungsleistungen,Zusagen,,,,2332.488
2017,Millionen EUR,"Energieerzeugung, -verteilung und -effizienz",Öffentliche Entwicklungsleistungen,Zusagen,,,,2172.595
2018,Millionen EUR,"Energieerzeugung, -verteilung und -effizienz",Öffentliche Entwicklungsleistungen,Zusagen,,,,2931.578
2019,Millionen EUR,"Energieerzeugung, -verteilung und -effizienz",Öffentliche Entwicklungsleistungen,Zusagen,,,,2007.762
2020,Millionen EUR,"Energieerzeugung, -verteilung und -effizienz",Öffentliche Entwicklungsleistungen,Zusagen,,,,1594.5
2021,Millionen EUR,"Energieerzeugung, -verteilung und -effizienz",Öffentliche Entwicklungsleistungen,Zusagen,,,,1416.67
2022,Millionen EUR,"Energieerzeugung, -verteilung und -effizienz",Öffentliche Entwicklungsleistungen,Zusagen,,,,3563.555
2023,Millionen EUR,"Energieerzeugung, -verteilung und -effizienz",Öffentliche Entwicklungsleistungen,Zusagen,,,,3080.325
2024,Millionen EUR,"Energieerzeugung, -verteilung und -effizienz",Öffentliche Entwicklungsleistungen,Zusagen,,,,1987.54
2010,Millionen EUR,Stadtentwicklung und -verwaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,51.869
2011,Millionen EUR,Stadtentwicklung und -verwaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,313.286
2012,Millionen EUR,Stadtentwicklung und -verwaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,48.912
2013,Millionen EUR,Stadtentwicklung und -verwaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,135.842
2014,Millionen EUR,Stadtentwicklung und -verwaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,51.927
2015,Millionen EUR,Stadtentwicklung und -verwaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,90.856
2016,Millionen EUR,Stadtentwicklung und -verwaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,455.108
2017,Millionen EUR,Stadtentwicklung und -verwaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,204.952
2018,Millionen EUR,Stadtentwicklung und -verwaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,215.715
2019,Millionen EUR,Stadtentwicklung und -verwaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,280.982
2020,Millionen EUR,Stadtentwicklung und -verwaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,346.96
2021,Millionen EUR,Stadtentwicklung und -verwaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,137.054
2022,Millionen EUR,Stadtentwicklung und -verwaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,808.189
2023,Millionen EUR,Stadtentwicklung und -verwaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,437.784
2024,Millionen EUR,Stadtentwicklung und -verwaltung,Öffentliche Entwicklungsleistungen,Zusagen,,,,137.464
2010,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,449.387
2011,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,495.117
2012,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,450.456
2013,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,490.458
2014,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,686.944
2015,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,739.473
2016,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,743.538
2017,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,797.765
2018,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,837.61
2019,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,763.001
2020,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,824.907
2021,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,728.218
2022,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,771.218
2023,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,886.445
2024,Millionen EUR,Wasser und Abwasser/Abfallentsorgung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1299.174
2010,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,134.292
2011,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,187.662
2012,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,163.622
2013,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,276.122
2014,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,105.962
2015,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,432.619
2016,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,378.383
2017,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,242.894
2018,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,273.935
2019,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,444.629
2020,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,346.776
2021,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,165.431
2022,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,247.648
2023,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,355.743
2024,Millionen EUR,Transport und Lagerhaltung,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,451.456
2010,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,20.555
2011,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,7.778
2012,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,5.479
2013,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,22.854
2014,Millionen EUR,Kommunikation,Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,57.058
