Year,Units,Series,Value
2010,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1289.0
2011,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1411.0
2012,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1328.0
2013,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1318.0
2014,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1341.0
2015,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1239.0
2016,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1304.0
2017,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1387.0
2018,Millionen Tonnen,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),1373.0
2010,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),15.8
2011,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),17.6
2012,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.5
2013,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.3
2014,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.5
2015,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),15.1
2016,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),15.8
2017,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.7
2018,Tonnen pro Kopf,Inländische Rohstoffverwendung in Rohstoffäquivalenten (RMC),16.5
2010,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,113.1
2011,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,119.1
2012,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,111.7
2013,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,110.3
2014,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,109.8
2015,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,100.0
2016,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,103.0
2017,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,106.7
2018,2015 = 100,Inländische Rohstoffverwendung pro realem BIP,104.3
