Year,Standard Gesamtrechnungssystem,Value
2010,,10
2011,,3
2012,,3
2013,,3
2014,,3
2015,,10
2016,,10
2017,,10
2018,,10
2019,,10
2020,,2
2021,,2
2010,SEEA Tabellen,3
2011,SEEA Tabellen,3
2012,SEEA Tabellen,3
2013,SEEA Tabellen,3
2014,SEEA Tabellen,3
2015,SEEA Tabellen,3
2016,SEEA Tabellen,3
2017,SEEA Tabellen,3
2018,SEEA Tabellen,3
2019,SEEA Tabellen,3
2020,SEEA Tabellen,2
2021,SEEA Tabellen,2
2010,TSA Tabellen,7
2011,TSA Tabellen,0
2012,TSA Tabellen,0
2013,TSA Tabellen,0
2014,TSA Tabellen,0
2015,TSA Tabellen,7
2016,TSA Tabellen,7
2017,TSA Tabellen,7
2018,TSA Tabellen,7
2019,TSA Tabellen,7
2020,TSA Tabellen,0
2021,TSA Tabellen,0
