Year,Units,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,89.082
2011,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,89.089
2012,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,89.089
2013,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,89.089
2014,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,89.089
2015,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,89.093
2016,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,89.212
2017,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,89.287
2018,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,89.313
2019,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,89.34
2020,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,89.34
2021,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,89.341
2022,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,89.341
2023,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,89.341
2024,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,89.341
2025,Prozent,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",…,,,89.341
2010,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,1883157.707
2011,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,1883311.449
2012,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,1883314.329
2013,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,1883314.329
2014,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,1883314.329
2015,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,1883389.516
2016,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,1885919.711
2017,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,1887489.612
2018,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,1888047.555
2019,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,1888627.336
2020,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,1888627.336
2021,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,1888646.391
2022,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,1888646.43
2023,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,1888647.107
2024,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",,,,1888647.107
2025,Hektar,"Marine Schlüsselgebiete der biologischen Vielfalt, die unter Schutz stehen",…,,,1888647.107
2010,Hektar,"Meeresfläche, die unter Schutz steht",,,,2523419.827
2011,Hektar,"Meeresfläche, die unter Schutz steht",,,,2523582.591
2012,Hektar,"Meeresfläche, die unter Schutz steht",,,,2523609.142
2013,Hektar,"Meeresfläche, die unter Schutz steht",,,,2523609.142
2014,Hektar,"Meeresfläche, die unter Schutz steht",,,,2523609.142
2015,Hektar,"Meeresfläche, die unter Schutz steht",,,,2524580.577
2016,Hektar,"Meeresfläche, die unter Schutz steht",,,,2561930.559
2017,Hektar,"Meeresfläche, die unter Schutz steht",,,,2567052.967
2018,Hektar,"Meeresfläche, die unter Schutz steht",,,,2571752.161
2019,Hektar,"Meeresfläche, die unter Schutz steht",,,,2578378.851
2020,Hektar,"Meeresfläche, die unter Schutz steht",,,,2578378.851
2021,Hektar,"Meeresfläche, die unter Schutz steht",,,,2578603.785
2022,Hektar,"Meeresfläche, die unter Schutz steht",,,,2578606.193
2023,Hektar,"Meeresfläche, die unter Schutz steht",,,,2578606.899
2024,Hektar,"Meeresfläche, die unter Schutz steht",,,,2578606.899
2025,Hektar,"Meeresfläche, die unter Schutz steht",,,,2578606.899
2010,Prozent,"Meeresfläche, die unter Schutz steht",,,,44.387
2011,Prozent,"Meeresfläche, die unter Schutz steht",,,,44.39
2012,Prozent,"Meeresfläche, die unter Schutz steht",,,,44.39
2013,Prozent,"Meeresfläche, die unter Schutz steht",,,,44.39
2014,Prozent,"Meeresfläche, die unter Schutz steht",,,,44.39
2015,Prozent,"Meeresfläche, die unter Schutz steht",,,,44.407
2016,Prozent,"Meeresfläche, die unter Schutz steht",,,,45.064
2017,Prozent,"Meeresfläche, die unter Schutz steht",,,,45.154
2018,Prozent,"Meeresfläche, die unter Schutz steht",,,,45.237
2019,Prozent,"Meeresfläche, die unter Schutz steht",,,,45.354
2020,Prozent,"Meeresfläche, die unter Schutz steht",,,,45.354
2021,Prozent,"Meeresfläche, die unter Schutz steht",,,,45.357
2022,Prozent,"Meeresfläche, die unter Schutz steht",,,,45.358
2023,Prozent,"Meeresfläche, die unter Schutz steht",,,,45.358
2024,Prozent,"Meeresfläche, die unter Schutz steht",,,,45.358
2025,Prozent,"Meeresfläche, die unter Schutz steht",,,,45.358
2010,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,2181832.642
2011,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,2181833.53
2012,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,2181833.53
2013,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,2181833.53
2014,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,2181833.53
2015,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,2181834.145
2016,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,2181834.145
2017,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,2183575.899
2018,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,2183586.8
2019,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,2187797.321
2020,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,2187797.321
2021,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,2187797.526
2022,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,2187797.526
2023,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,2187797.526
2024,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,2187797.526
2025,Hektar,"Meeresfläche, die unter effektivem Schutz steht",,,,2187797.526
2010,Prozent,"Meeresfläche, die unter effektivem Schutz steht",,,,38.378
