Year,Units,Art der Biomasse,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Millionen Tonnen Kohlenstoff,,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1571.0
2011,Millionen Tonnen Kohlenstoff,,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1584.9
2012,Millionen Tonnen Kohlenstoff,,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1598.2
2013,Millionen Tonnen Kohlenstoff,,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1611.9
2014,Millionen Tonnen Kohlenstoff,,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1636.5
2015,Millionen Tonnen Kohlenstoff,,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1644.4
2016,Millionen Tonnen Kohlenstoff,,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1653.5
2017,Millionen Tonnen Kohlenstoff,,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1661.7
2018,Millionen Tonnen Kohlenstoff,,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1666.8
2019,Millionen Tonnen Kohlenstoff,,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1671.3
2020,Millionen Tonnen Kohlenstoff,,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1672.9
2021,Millionen Tonnen Kohlenstoff,,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1673.4
2022,Millionen Tonnen Kohlenstoff,,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1675.7
2010,Prozent,,.,,,Waldfläche in Schutzgebieten,
2011,Prozent,,.,,,Waldfläche in Schutzgebieten,
2012,Prozent,,,,,Waldfläche in Schutzgebieten,0.7
2013,Prozent,,.,,,Waldfläche in Schutzgebieten,
2014,Prozent,,.,,,Waldfläche in Schutzgebieten,
2015,Prozent,,r,,,Waldfläche in Schutzgebieten,0.5
2016,Prozent,,.,,,Waldfläche in Schutzgebieten,
2017,Prozent,,.,,,Waldfläche in Schutzgebieten,
2018,Prozent,,r,,,Waldfläche in Schutzgebieten,0.6
2019,Prozent,,.,,,Waldfläche in Schutzgebieten,
2020,Prozent,,.,,,Waldfläche in Schutzgebieten,
2021,Prozent,,,,,Waldfläche in Schutzgebieten,0.6
2010,Prozent,,,,,Jährliche Veränderung der Waldfläche,0.1
2011,Prozent,,,,,Jährliche Veränderung der Waldfläche,1.0
2012,Prozent,,,,,Jährliche Veränderung der Waldfläche,0.1
2013,Prozent,,,,,Jährliche Veränderung der Waldfläche,0.2
2014,Prozent,,,,,Jährliche Veränderung der Waldfläche,0.2
2015,Prozent,,,,,Jährliche Veränderung der Waldfläche,0.2
2016,Prozent,,|,,,Jährliche Veränderung der Waldfläche,0.3
2017,Prozent,,,,,Jährliche Veränderung der Waldfläche,0.4
2018,Prozent,,,,,Jährliche Veränderung der Waldfläche,0.3
2019,Prozent,,,,,Jährliche Veränderung der Waldfläche,0.1
2020,Prozent,,,,,Jährliche Veränderung der Waldfläche,0.1
2021,Prozent,,,,,Jährliche Veränderung der Waldfläche,0.1
2022,Prozent,,,,,Jährliche Veränderung der Waldfläche,0.2
2023,Prozent,,,,,Jährliche Veränderung der Waldfläche,0.2
2024,Prozent,,,,,Jährliche Veränderung der Waldfläche,0.1
2010,Prozent,,,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,67.5
2011,Prozent,,,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,67.2
2012,Prozent,,,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,66.9
2013,Prozent,,,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,66.9
2014,Prozent,,,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,66.6
2015,Prozent,,,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,66.2
2016,Prozent,,,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,66.7
2017,Prozent,,r,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,67.0
2018,Prozent,,,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,68.6
2019,Prozent,,r,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,68.7
2020,Prozent,,r,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,73.3
2021,Prozent,,r,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,78.5
2022,Prozent,,r,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,78.6
2023,Prozent,,r,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,78.6
2024,Prozent,,,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,79.3
2010,Millionen Tonnen Kohlenstoff,Stehendes Holz,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1075.0
2011,Millionen Tonnen Kohlenstoff,Stehendes Holz,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1084.6
2012,Millionen Tonnen Kohlenstoff,Stehendes Holz,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1093.7
2013,Millionen Tonnen Kohlenstoff,Stehendes Holz,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1103.1
2014,Millionen Tonnen Kohlenstoff,Stehendes Holz,,,,Gesamtbestand der obererdigen Biomasse in Wäldern,890.0
2015,Millionen Tonnen Kohlenstoff,Stehendes Holz,r,,,Gesamtbestand der obererdigen Biomasse in Wäldern,894.6
