Year,Units,Zeitreihe,Value
2010,Millionen EUR,Zusagen (ODA) für Biodiversität,440.9
2011,Millionen EUR,Zusagen (ODA) für Biodiversität,877.7
2012,Millionen EUR,Zusagen (ODA) für Biodiversität,755.3
2013,Millionen EUR,Zusagen (ODA) für Biodiversität,754.0
2014,Millionen EUR,Zusagen (ODA) für Biodiversität,926.2
2015,Millionen EUR,Zusagen (ODA) für Biodiversität,1050.8
2016,Millionen EUR,Zusagen (ODA) für Biodiversität,1004.9
2017,Millionen EUR,Zusagen (ODA) für Biodiversität,1602.2
2018,Millionen EUR,Zusagen (ODA) für Biodiversität,1350.6
2019,Millionen EUR,Zusagen (ODA) für Biodiversität,1990.5
2020,Millionen EUR,Zusagen (ODA) für Biodiversität,2084.9
2021,Millionen EUR,Zusagen (ODA) für Biodiversität,2107.5
2022,Millionen EUR,Zusagen (ODA) für Biodiversität,2.9
2010,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für Biodiversität,318.6
2011,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für Biodiversität,440.7
2012,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für Biodiversität,601.6
2013,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für Biodiversität,616.5
2014,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für Biodiversität,702.4
2015,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für Biodiversität,687.2
2016,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für Biodiversität,935.1
2017,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für Biodiversität,1321.5
2018,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für Biodiversität,1216.5
2019,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für Biodiversität,1449.9
2020,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für Biodiversität,1787.8
2021,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für Biodiversität,2107.5
2022,Millionen EUR,Bruttoentwicklungsausgaben (ODA) für Biodiversität,2.9
2010,Millionen EUR,Umweltschutzausgaben,52116.0
2011,Millionen EUR,Umweltschutzausgaben,54918.0
2012,Millionen EUR,Umweltschutzausgaben,57022.0
2013,Millionen EUR,Umweltschutzausgaben,58937.0
2014,Millionen EUR,Umweltschutzausgaben,63026.0
2015,Millionen EUR,Umweltschutzausgaben,64748.0
2016,Millionen EUR,Umweltschutzausgaben,67478.0
2017,Millionen EUR,Umweltschutzausgaben,70053.0
2018,Millionen EUR,Umweltschutzausgaben,74164.0
2019,Millionen EUR,Umweltschutzausgaben,77773.0
2020,Millionen EUR,Umweltschutzausgaben,79884.0
2021,Millionen EUR,Umweltschutzausgaben,83103.0
2022,Millionen EUR,Umweltschutzausgaben,
2010,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für Biodiversität,636.1
2011,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für Biodiversität,1252.9
2012,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für Biodiversität,1062.3
2013,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für Biodiversität,1040.0
2014,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für Biodiversität,1254.1
2015,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für Biodiversität,1397.0
2016,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für Biodiversität,1318.4
2017,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für Biodiversität,2070.8
2018,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für Biodiversität,1711.4
2019,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für Biodiversität,2469.7
2020,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für Biodiversität,2540.9
2021,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für Biodiversität,2492.4
2022,"Millionen USD, konstante Preise (2021)",Zusagen (ODA) für Biodiversität,3.2
2010,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für Biodiversität,459.7
2011,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für Biodiversität,629.0
2012,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für Biodiversität,846.1
2013,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für Biodiversität,850.4
2014,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für Biodiversität,951.2
2015,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für Biodiversität,913.6
2016,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für Biodiversität,1226.8
2017,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für Biodiversität,1708.0
2018,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für Biodiversität,1541.5
2019,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für Biodiversität,1799.0
2020,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für Biodiversität,2178.8
2021,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für Biodiversität,2492.4
2022,"Millionen USD, konstante Preise (2021)",Bruttoentwicklungsausgaben (ODA) für Biodiversität,3.2
