Year,Series,Value
2010,Genehmigte Ein- und Ausfuhren geschützter Arten,43360
2011,Genehmigte Ein- und Ausfuhren geschützter Arten,43358
2012,Genehmigte Ein- und Ausfuhren geschützter Arten,48560
2013,Genehmigte Ein- und Ausfuhren geschützter Arten,44725
2014,Genehmigte Ein- und Ausfuhren geschützter Arten,49402
2015,Genehmigte Ein- und Ausfuhren geschützter Arten,47345
2016,Genehmigte Ein- und Ausfuhren geschützter Arten,49693
2017,Genehmigte Ein- und Ausfuhren geschützter Arten,56142
2018,Genehmigte Ein- und Ausfuhren geschützter Arten,59427
2019,Genehmigte Ein- und Ausfuhren geschützter Arten,58727
2020,Genehmigte Ein- und Ausfuhren geschützter Arten,42911
2021,Genehmigte Ein- und Ausfuhren geschützter Arten,49399
2022,Genehmigte Ein- und Ausfuhren geschützter Arten,49124
2023,Genehmigte Ein- und Ausfuhren geschützter Arten,44728
2010,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,946
2011,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,935
2012,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,811
2013,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,748
2014,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,692
2015,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,1159
2016,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,833
2017,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,903
2018,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,1249
2019,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,1440
2020,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,1234
2021,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,1114
2022,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,1027
