Year,Form der Misshandlung,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,1 bis unter 18 Jahre,Weiblich,.,,,
2011,,1 bis unter 18 Jahre,Weiblich,.,,,
2012,,1 bis unter 18 Jahre,Weiblich,,,,0.08
2013,,1 bis unter 18 Jahre,Weiblich,,,,0.08
2014,,1 bis unter 18 Jahre,Weiblich,,,,0.08
2015,,1 bis unter 18 Jahre,Weiblich,,,,0.09
2016,,1 bis unter 18 Jahre,Weiblich,,,,0.1
2017,,1 bis unter 18 Jahre,Weiblich,,,,0.1
2018,,1 bis unter 18 Jahre,Weiblich,,,,0.12
2019,,1 bis unter 18 Jahre,Weiblich,,,,0.14
2020,,1 bis unter 18 Jahre,Weiblich,,,,0.15
2021,,1 bis unter 18 Jahre,Weiblich,,,,0.16
2022,,1 bis unter 18 Jahre,Weiblich,,,,0.18
2023,,1 bis unter 18 Jahre,Weiblich,r,,,0.18
2024,,1 bis unter 18 Jahre,Weiblich,,,,0.22
2010,,1 bis unter 18 Jahre,Männlich,.,,,
2011,,1 bis unter 18 Jahre,Männlich,.,,,
2012,,1 bis unter 18 Jahre,Männlich,,,,0.07
2013,,1 bis unter 18 Jahre,Männlich,,,,0.07
2014,,1 bis unter 18 Jahre,Männlich,,,,0.07
2015,,1 bis unter 18 Jahre,Männlich,,,,0.08
2016,,1 bis unter 18 Jahre,Männlich,,,,0.09
2017,,1 bis unter 18 Jahre,Männlich,,,,0.09
2018,,1 bis unter 18 Jahre,Männlich,,,,0.11
2019,,1 bis unter 18 Jahre,Männlich,,,,0.13
2020,,1 bis unter 18 Jahre,Männlich,,,,0.14
2021,,1 bis unter 18 Jahre,Männlich,,,,0.14
2022,,1 bis unter 18 Jahre,Männlich,,,,0.15
2023,,1 bis unter 18 Jahre,Männlich,,,,0.16
2024,,1 bis unter 18 Jahre,Männlich,,,,0.19
2010,,1 bis unter 15 Jahre,Weiblich,.,,,
2011,,1 bis unter 15 Jahre,Weiblich,.,,,
2012,,1 bis unter 15 Jahre,Weiblich,,,,0.07
2013,,1 bis unter 15 Jahre,Weiblich,,,,0.07
2014,,1 bis unter 15 Jahre,Weiblich,,,,0.08
2015,,1 bis unter 15 Jahre,Weiblich,,,,0.09
2016,,1 bis unter 15 Jahre,Weiblich,,,,0.1
2017,,1 bis unter 15 Jahre,Weiblich,,,,0.1
2018,,1 bis unter 15 Jahre,Weiblich,,,,0.12
2019,,1 bis unter 15 Jahre,Weiblich,,,,0.14
2020,,1 bis unter 15 Jahre,Weiblich,,,,0.14
2021,,1 bis unter 15 Jahre,Weiblich,,,,0.15
2022,,1 bis unter 15 Jahre,Weiblich,,,,0.17
2023,,1 bis unter 15 Jahre,Weiblich,,,,0.17
2024,,1 bis unter 15 Jahre,Weiblich,,,,0.21
2010,,1 bis unter 15 Jahre,Männlich,.,,,
2011,,1 bis unter 15 Jahre,Männlich,.,,,
2012,,1 bis unter 15 Jahre,Männlich,,,,0.07
2013,,1 bis unter 15 Jahre,Männlich,,,,0.07
2014,,1 bis unter 15 Jahre,Männlich,,,,0.08
2015,,1 bis unter 15 Jahre,Männlich,,,,0.08
