Year,Units,Geschlecht,Altersklasse,Form der Ausbeutung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Je 100 000 Einwohner/-innen,,,,,,,0.796
2011,Je 100 000 Einwohner/-innen,,,,,,,0.821
2012,Je 100 000 Einwohner/-innen,,,,|,,,0.765
2013,Je 100 000 Einwohner/-innen,,,,,,,0.749
2014,Je 100 000 Einwohner/-innen,,,,,,,0.722
2015,Je 100 000 Einwohner/-innen,,,,,,,0.579
2016,Je 100 000 Einwohner/-innen,,,,,,,0.652
2017,Je 100 000 Einwohner/-innen,,,,,,,0.811
2018,Je 100 000 Einwohner/-innen,,,,,,,0.595
2019,Je 100 000 Einwohner/-innen,,,,,,,0.566
2020,Je 100 000 Einwohner/-innen,,,,,,,0.576
2021,Je 100 000 Einwohner/-innen,,,,,,,0.678
2022,Je 100 000 Einwohner/-innen,,,,,,,1.796
2023,Je 100 000 Einwohner/-innen,,,,|,,,0.724
2024,Je 100 000 Einwohner/-innen,,,,,,,0.762
2010,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.05
2011,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.039
2012,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,|,,,0.017
2013,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.076
2014,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.032
2015,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.067
2016,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.058
2017,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.218
2018,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.076
2019,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.052
2020,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.088
2021,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.177
2022,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,1.224
2023,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,|,,,0.217
2024,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.205
2010,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.024
2011,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.058
2012,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,|,,,0.017
2013,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.032
2014,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.01
2015,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.019
2016,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.031
2017,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.06
2018,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.019
2019,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.045
2020,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.043
2021,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.171
2022,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.631
