Year,Aufgabenbereiche,Gerichtsebene,Series,Value
2010,,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.1
2011,,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.08
2012,,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.09
2013,,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.1
2014,,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.1
2015,,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.11
2016,,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.12
2017,,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.13
2018,,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.14
2019,,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.14
2010,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.06
2011,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.06
2012,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.07
2013,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.08
2014,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.08
2015,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.09
2016,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.11
2017,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.12
2018,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.12
2019,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.13
2010,Polizei,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,0.5
2011,Polizei,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,0.48
2012,Polizei,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,0.49
2013,Polizei,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,0.5
2014,Polizei,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,0.51
2015,Polizei,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,0.52
2016,Polizei,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,0.53
2017,Polizei,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,0.55
2018,Polizei,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,0.57
