Year,Zeitreihe,COMMENT_OBS_0,Value
2010,"Anteil der Staatsausgaben, die durch Steuern finanziert werden",r,45.1
2011,"Anteil der Staatsausgaben, die durch Steuern finanziert werden",r,49.5
2012,"Anteil der Staatsausgaben, die durch Steuern finanziert werden",r,50.9
2013,"Anteil der Staatsausgaben, die durch Steuern finanziert werden",r,51.5
2014,"Anteil der Staatsausgaben, die durch Steuern finanziert werden",r,52.0
2015,"Anteil der Staatsausgaben, die durch Steuern finanziert werden",r,52.5
2016,"Anteil der Staatsausgaben, die durch Steuern finanziert werden",r,52.9
2017,"Anteil der Staatsausgaben, die durch Steuern finanziert werden",r,53.4
2018,"Anteil der Staatsausgaben, die durch Steuern finanziert werden",r,53.9
2019,"Anteil der Staatsausgaben, die durch Steuern finanziert werden",r,52.9
2020,"Anteil der Staatsausgaben, die durch Steuern finanziert werden",,45.4
2021,"Anteil der Staatsausgaben, die durch Steuern finanziert werden",p,48.1
2022,"Anteil der Staatsausgaben, die durch Steuern finanziert werden",p,49.6
2023,"Anteil der Staatsausgaben, die durch Steuern finanziert werden",p,47.3
2010,"Anteil der Staatsausgaben, die durch Steuern und Sozialversicherungsabgaben finanziert werden",r,79.0
2011,"Anteil der Staatsausgaben, die durch Steuern und Sozialversicherungsabgaben finanziert werden",r,85.0
2012,"Anteil der Staatsausgaben, die durch Steuern und Sozialversicherungsabgaben finanziert werden",r,86.9
2013,"Anteil der Staatsausgaben, die durch Steuern und Sozialversicherungsabgaben finanziert werden",r,87.4
2014,"Anteil der Staatsausgaben, die durch Steuern und Sozialversicherungsabgaben finanziert werden",r,88.4
2015,"Anteil der Staatsausgaben, die durch Steuern und Sozialversicherungsabgaben finanziert werden",r,89.0
2016,"Anteil der Staatsausgaben, die durch Steuern und Sozialversicherungsabgaben finanziert werden",r,89.6
2017,"Anteil der Staatsausgaben, die durch Steuern und Sozialversicherungsabgaben finanziert werden",r,90.4
2018,"Anteil der Staatsausgaben, die durch Steuern und Sozialversicherungsabgaben finanziert werden",r,91.2
2019,"Anteil der Staatsausgaben, die durch Steuern und Sozialversicherungsabgaben finanziert werden",r,90.1
2020,"Anteil der Staatsausgaben, die durch Steuern und Sozialversicherungsabgaben finanziert werden",,79.8
2021,"Anteil der Staatsausgaben, die durch Steuern und Sozialversicherungsabgaben finanziert werden",p,82.1
2022,"Anteil der Staatsausgaben, die durch Steuern und Sozialversicherungsabgaben finanziert werden",p,84.0
2023,"Anteil der Staatsausgaben, die durch Steuern und Sozialversicherungsabgaben finanziert werden",p,82.3
