Year,Altersklasse,Geschlecht,Value
2010,16 bis unter 75 Jahre,,80
2011,16 bis unter 75 Jahre,,81
2012,16 bis unter 75 Jahre,,82
2013,16 bis unter 75 Jahre,,84
2014,16 bis unter 75 Jahre,,86
2015,16 bis unter 75 Jahre,,88
2016,16 bis unter 75 Jahre,,90
2017,16 bis unter 75 Jahre,,90
2018,16 bis unter 75 Jahre,,92
2019,16 bis unter 75 Jahre,,93
2020,16 bis unter 75 Jahre,,94
2010,16 bis unter 75 Jahre,Weiblich,76
2011,16 bis unter 75 Jahre,Weiblich,78
2012,16 bis unter 75 Jahre,Weiblich,79
2013,16 bis unter 75 Jahre,Weiblich,81
2014,16 bis unter 75 Jahre,Weiblich,84
2015,16 bis unter 75 Jahre,Weiblich,85
2016,16 bis unter 75 Jahre,Weiblich,88
2017,16 bis unter 75 Jahre,Weiblich,89
2018,16 bis unter 75 Jahre,Weiblich,91
2019,16 bis unter 75 Jahre,Weiblich,92
2020,16 bis unter 75 Jahre,Weiblich,93
2010,16 bis unter 75 Jahre,Männlich,84
2011,16 bis unter 75 Jahre,Männlich,84
2012,16 bis unter 75 Jahre,Männlich,85
2013,16 bis unter 75 Jahre,Männlich,87
2014,16 bis unter 75 Jahre,Männlich,89
2015,16 bis unter 75 Jahre,Männlich,90
2016,16 bis unter 75 Jahre,Männlich,91
2017,16 bis unter 75 Jahre,Männlich,92
2018,16 bis unter 75 Jahre,Männlich,94
2019,16 bis unter 75 Jahre,Männlich,94
2020,16 bis unter 75 Jahre,Männlich,95
2010,16 bis unter 25 Jahre,,98
2011,16 bis unter 25 Jahre,,99
2012,16 bis unter 25 Jahre,,98
2013,16 bis unter 25 Jahre,,98
2014,16 bis unter 25 Jahre,,99
2015,16 bis unter 25 Jahre,,99
2016,16 bis unter 25 Jahre,,99
2017,16 bis unter 25 Jahre,,99
2018,16 bis unter 25 Jahre,,99
2019,16 bis unter 25 Jahre,,99
2020,16 bis unter 25 Jahre,,99
2010,25 bis unter 65 Jahre,,85
2011,25 bis unter 65 Jahre,,87
2012,25 bis unter 65 Jahre,,88
2013,25 bis unter 65 Jahre,,89
2014,25 bis unter 65 Jahre,,91
2015,25 bis unter 65 Jahre,,92
2016,25 bis unter 65 Jahre,,93
2017,25 bis unter 65 Jahre,,93
2018,25 bis unter 65 Jahre,,95
2019,25 bis unter 65 Jahre,,96
2020,25 bis unter 65 Jahre,,97
2010,65 bis unter 75 Jahre,,41
2011,65 bis unter 75 Jahre,,41
2012,65 bis unter 75 Jahre,,43
2013,65 bis unter 75 Jahre,,50
2014,65 bis unter 75 Jahre,,53
2015,65 bis unter 75 Jahre,,56
2016,65 bis unter 75 Jahre,,62
2017,65 bis unter 75 Jahre,,64
2018,65 bis unter 75 Jahre,,71
2019,65 bis unter 75 Jahre,,72
2020,65 bis unter 75 Jahre,,76
