Year,Wirtschaftszweig,COMMENT_OBS_0,Value
2010,Landwirtschaft,r,91.5
2011,Landwirtschaft,r,92.0
2012,Landwirtschaft,r,90.6
2013,Landwirtschaft,r,89.2
2014,Landwirtschaft,r,101.0
2015,Landwirtschaft,r,85.9
2016,Landwirtschaft,r,90.6
2017,Landwirtschaft,r,98.2
2018,Landwirtschaft,r,80.8
2019,Landwirtschaft,r,94.0
2020,Landwirtschaft,,100.0
2021,Landwirtschaft,p,115.7
2022,Landwirtschaft,p,115.3
2010,Forstwirtschaft,r,106.9
2011,Forstwirtschaft,r,134.7
2012,Forstwirtschaft,r,153.7
2013,Forstwirtschaft,r,155.5
2014,Forstwirtschaft,r,161.8
2015,Forstwirtschaft,r,167.8
2016,Forstwirtschaft,r,181.5
2017,Forstwirtschaft,r,182.0
2018,Forstwirtschaft,r,209.3
2019,Forstwirtschaft,r,171.4
2020,Forstwirtschaft,,100.0
2021,Forstwirtschaft,p,124.0
2022,Forstwirtschaft,p,177.0
