Year,Units,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Je 100 000 Einwohner/-innen,,,,,,4.7
2011,Je 100 000 Einwohner/-innen,,,,,,5.2
2012,Je 100 000 Einwohner/-innen,,,,,,4.8
2013,Je 100 000 Einwohner/-innen,,,,,,4.3
2014,Je 100 000 Einwohner/-innen,,,,,,4.2
2015,Je 100 000 Einwohner/-innen,,,,,,4.2
2016,Je 100 000 Einwohner/-innen,,,,,,3.8
2017,Je 100 000 Einwohner/-innen,,,,,,3.6
2018,Je 100 000 Einwohner/-innen,,,,,,3.7
2019,Je 100 000 Einwohner/-innen,,,,,,3.4
2020,Je 100 000 Einwohner/-innen,,,,,,3.0
2021,Je 100 000 Einwohner/-innen,,,,,,2.8
2022,Je 100 000 Einwohner/-innen,,,,,,3.1
2023,Je 100 000 Einwohner/-innen,,,,,,3.0
2024,Je 100 000 Einwohner/-innen,,,,,,3.2
2010,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.9
2011,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.8
2012,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.7
2013,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.5
2014,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.7
2015,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.6
2016,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.6
2017,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.4
2018,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.5
2019,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.4
2020,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.3
2021,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.3
2022,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.4
2023,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,,,,0.2
2024,Je 100 000 Einwohner/-innen,14 Jahre und jünger,,r,,,0.4
2010,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,8.7
2011,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,9.6
2012,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,8.6
2013,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,6.7
2014,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,6.8
2015,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,6.0
2016,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,5.4
2017,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,4.8
2018,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,4.7
2019,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,4.5
2020,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,4.2
2021,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,3.6
2022,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,3.5
2023,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,3.4
2024,Je 100 000 Einwohner/-innen,15 bis unter 25 Jahre,,,,,4.0
2010,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,5.2
2011,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,5.7
2012,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,5.0
2013,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,4.4
2014,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,4.2
2015,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,3.9
2016,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,3.3
2017,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,3.2
2018,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,3.2
2019,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,2.9
2020,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,2.8
2021,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,2.4
2022,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,2.4
2023,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,2.5
2024,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,2.4
2010,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,3.5
2011,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,3.8
2012,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,3.4
2013,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,3.4
2014,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,2.9
2015,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,3.2
2016,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,2.7
2017,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,r,,,2.5
2018,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,2.7
2019,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,2.3
2020,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,2.1
2021,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,1.8
2022,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,2.0
2023,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,2.2
2024,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,2.3
2010,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,4.5
2011,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,4.8
2012,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,4.4
2013,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,4.0
2014,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,3.9
2015,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,3.9
2016,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,3.4
2017,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,3.4
2018,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,3.3
2019,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,2.9
2020,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,2.5
2021,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,2.6
2022,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,2.7
2023,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,2.4
2024,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,2.7
2010,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,3.8
2011,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,4.4
2012,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,4.2
2013,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,3.8
2014,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,4.0
