Year,Erkrankung,Geschlecht,Altersklasse,Value
2010,a) Akute Atemwegsinfektionen,,,25.88
2011,a) Akute Atemwegsinfektionen,,,25.34
2012,a) Akute Atemwegsinfektionen,,,24.44
2013,a) Akute Atemwegsinfektionen,,,26.34
2014,a) Akute Atemwegsinfektionen,,,21.5
2015,a) Akute Atemwegsinfektionen,,,26.67
2016,a) Akute Atemwegsinfektionen,,,23.93
2017,a) Akute Atemwegsinfektionen,,,26.1
2018,a) Akute Atemwegsinfektionen,,,29.12
2019,a) Akute Atemwegsinfektionen,,,25.07
2020,a) Akute Atemwegsinfektionen,,,21.29
2021,a) Akute Atemwegsinfektionen,,,17.36
2010,b) Durchfallerkrankungen,,,3.68
2011,b) Durchfallerkrankungen,,,5.7
2012,b) Durchfallerkrankungen,,,6.89
2013,b) Durchfallerkrankungen,,,7.1
2014,b) Durchfallerkrankungen,,,6.34
2015,b) Durchfallerkrankungen,,,7.02
2016,b) Durchfallerkrankungen,,,5.75
2017,b) Durchfallerkrankungen,,,5.42
2018,b) Durchfallerkrankungen,,,5.08
2019,b) Durchfallerkrankungen,,,4.25
2020,b) Durchfallerkrankungen,,,3.69
2021,b) Durchfallerkrankungen,,,3.35
2010,c) Intestinale Nematodeninfektionen,,,0.0
2011,c) Intestinale Nematodeninfektionen,,,0.0
2012,c) Intestinale Nematodeninfektionen,,,0.0
2013,c) Intestinale Nematodeninfektionen,,,0.0
2014,c) Intestinale Nematodeninfektionen,,,0.0
2015,c) Intestinale Nematodeninfektionen,,,0.0
2016,c) Intestinale Nematodeninfektionen,,,0.0
2017,c) Intestinale Nematodeninfektionen,,,0.0
2018,c) Intestinale Nematodeninfektionen,,,0.0
2019,c) Intestinale Nematodeninfektionen,,,0.0
2020,c) Intestinale Nematodeninfektionen,,,0.0
2021,c) Intestinale Nematodeninfektionen,,,0.0
2010,d) Energie- und Eiweißmangelernährung,,,0.3
2011,d) Energie- und Eiweißmangelernährung,,,0.29
2012,d) Energie- und Eiweißmangelernährung,,,0.26
2013,d) Energie- und Eiweißmangelernährung,,,0.33
2014,d) Energie- und Eiweißmangelernährung,,,0.33
2015,d) Energie- und Eiweißmangelernährung,,,0.55
2016,d) Energie- und Eiweißmangelernährung,,,0.5
2017,d) Energie- und Eiweißmangelernährung,,,0.71
2018,d) Energie- und Eiweißmangelernährung,,,0.75
2019,d) Energie- und Eiweißmangelernährung,,,0.82
2020,d) Energie- und Eiweißmangelernährung,,,0.91
2021,d) Energie- und Eiweißmangelernährung,,,1.02
2010,a) Akute Atemwegsinfektionen,Männlich,,25.33
2011,a) Akute Atemwegsinfektionen,Männlich,,24.99
2012,a) Akute Atemwegsinfektionen,Männlich,,24.24
2013,a) Akute Atemwegsinfektionen,Männlich,,26.26
2014,a) Akute Atemwegsinfektionen,Männlich,,22.06
2015,a) Akute Atemwegsinfektionen,Männlich,,27.15
2016,a) Akute Atemwegsinfektionen,Männlich,,24.68
2017,a) Akute Atemwegsinfektionen,Männlich,,26.14
2018,a) Akute Atemwegsinfektionen,Männlich,,29.66
2019,a) Akute Atemwegsinfektionen,Männlich,,26.14
2020,a) Akute Atemwegsinfektionen,Männlich,,23.38
2021,a) Akute Atemwegsinfektionen,Männlich,,19.52
2010,b) Durchfallerkrankungen,Männlich,,2.82
2011,b) Durchfallerkrankungen,Männlich,,4.25
2012,b) Durchfallerkrankungen,Männlich,,5.17
2013,b) Durchfallerkrankungen,Männlich,,5.37
2014,b) Durchfallerkrankungen,Männlich,,4.75
2015,b) Durchfallerkrankungen,Männlich,,5.47
2016,b) Durchfallerkrankungen,Männlich,,4.46
2017,b) Durchfallerkrankungen,Männlich,,4.26
2018,b) Durchfallerkrankungen,Männlich,,3.98
2019,b) Durchfallerkrankungen,Männlich,,3.3
2020,b) Durchfallerkrankungen,Männlich,,2.91
2021,b) Durchfallerkrankungen,Männlich,,2.71
2010,c) Intestinale Nematodeninfektionen,Männlich,,0.0
