Year,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,,,,,0.12
2011,,,,,0.11
2012,,,,,0.16
2013,,,,,0.15
2014,,,,,0.14
2015,,,,,0.15
2016,,,,,0.17
2017,,,,,0.27
2018,,,,,0.29
2019,,r,,,0.31
2020,,r,,,0.37
2021,,,,,0.38
2022,,r,,,0.46
2023,,r,,,0.49
2024,,r,,,0.49
2010,Weiblich,,,,0.07
2011,Weiblich,,,,0.06
2012,Weiblich,,,,0.09
2013,Weiblich,,,,0.09
2014,Weiblich,,,,0.09
2015,Weiblich,,,,0.1
2016,Weiblich,,,,0.12
2017,Weiblich,,,,0.17
2018,Weiblich,,,,0.15
2019,Weiblich,,,,0.18
2020,Weiblich,,,,0.2
2021,Weiblich,,,,0.22
2022,Weiblich,,,,0.22
2023,Weiblich,,,,0.25
2024,Weiblich,,,,0.28
2010,Männlich,,,,0.16
2011,Männlich,,,,0.16
2012,Männlich,,,,0.21
2013,Männlich,,,,0.21
2014,Männlich,,,,0.19
2015,Männlich,,,,0.2
2016,Männlich,,,,0.21
2017,Männlich,,,,0.37
2018,Männlich,,,,0.44
2019,Männlich,,,,0.43
2020,Männlich,,,,0.53
2021,Männlich,,,,0.54
2022,Männlich,,,,0.7
2023,Männlich,,,,0.72
2024,Männlich,,,,0.69
