Year,Ausbildungsgrad,Schulfach,Value
2010,b) Am Ende der Grundschule,Lesen,
2011,b) Am Ende der Grundschule,Lesen,98.0
2012,b) Am Ende der Grundschule,Lesen,
2013,b) Am Ende der Grundschule,Lesen,
2014,b) Am Ende der Grundschule,Lesen,
2015,b) Am Ende der Grundschule,Lesen,
2016,b) Am Ende der Grundschule,Lesen,95.0
2017,b) Am Ende der Grundschule,Lesen,
2018,b) Am Ende der Grundschule,Lesen,
2019,b) Am Ende der Grundschule,Lesen,
2010,b) Am Ende der Grundschule,Mathematik,
2011,b) Am Ende der Grundschule,Mathematik,97.0
2012,b) Am Ende der Grundschule,Mathematik,
2013,b) Am Ende der Grundschule,Mathematik,
2014,b) Am Ende der Grundschule,Mathematik,
2015,b) Am Ende der Grundschule,Mathematik,96.0
2016,b) Am Ende der Grundschule,Mathematik,
2017,b) Am Ende der Grundschule,Mathematik,
2018,b) Am Ende der Grundschule,Mathematik,
2019,b) Am Ende der Grundschule,Mathematik,96.0
2010,c) Am Ende der Sekundarstufe I,Lesen,
2011,c) Am Ende der Sekundarstufe I,Lesen,
2012,c) Am Ende der Sekundarstufe I,Lesen,85.6
2013,c) Am Ende der Sekundarstufe I,Lesen,
2014,c) Am Ende der Sekundarstufe I,Lesen,
2015,c) Am Ende der Sekundarstufe I,Lesen,83.7
2016,c) Am Ende der Sekundarstufe I,Lesen,
2017,c) Am Ende der Sekundarstufe I,Lesen,
2018,c) Am Ende der Sekundarstufe I,Lesen,79.3
2019,c) Am Ende der Sekundarstufe I,Lesen,
2010,c) Am Ende der Sekundarstufe I,Mathematik,
2011,c) Am Ende der Sekundarstufe I,Mathematik,
2012,c) Am Ende der Sekundarstufe I,Mathematik,82.3
2013,c) Am Ende der Sekundarstufe I,Mathematik,
2014,c) Am Ende der Sekundarstufe I,Mathematik,
2015,c) Am Ende der Sekundarstufe I,Mathematik,82.8
2016,c) Am Ende der Sekundarstufe I,Mathematik,
2017,c) Am Ende der Sekundarstufe I,Mathematik,
2018,c) Am Ende der Sekundarstufe I,Mathematik,78.9
2019,c) Am Ende der Sekundarstufe I,Mathematik,
