Year,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,15 bis unter 25 Jahre,,,,,75.837
2011,15 bis unter 25 Jahre,,,,,76.789
2012,15 bis unter 25 Jahre,,,,,77.862
2013,15 bis unter 25 Jahre,,,,,78.711
2014,15 bis unter 25 Jahre,,,,,78.927
2015,15 bis unter 25 Jahre,,,,,79.76
2016,15 bis unter 25 Jahre,,,,,79.134
2017,15 bis unter 25 Jahre,,,,,79.603
2018,15 bis unter 25 Jahre,,,,,79.605
2019,15 bis unter 25 Jahre,,,,,79.357
2020,15 bis unter 25 Jahre,,|,,,79.956
2021,15 bis unter 25 Jahre,,r,,,77.662
2022,15 bis unter 25 Jahre,,r,,,77.789
2023,15 bis unter 25 Jahre,,,,,77.07
2024,15 bis unter 25 Jahre,,p,,,77.414
2010,15 bis unter 25 Jahre,Weiblich,,,,76.754
2011,15 bis unter 25 Jahre,Weiblich,,,,77.776
2012,15 bis unter 25 Jahre,Weiblich,,,,78.684
2013,15 bis unter 25 Jahre,Weiblich,,,,79.211
2014,15 bis unter 25 Jahre,Weiblich,,,,79.414
2015,15 bis unter 25 Jahre,Weiblich,,,,80.144
2016,15 bis unter 25 Jahre,Weiblich,,,,79.49
2017,15 bis unter 25 Jahre,Weiblich,,,,80.218
2018,15 bis unter 25 Jahre,Weiblich,,,,80.649
2019,15 bis unter 25 Jahre,Weiblich,,,,80.717
2020,15 bis unter 25 Jahre,Weiblich,|,,,80.894
2021,15 bis unter 25 Jahre,Weiblich,r,,,79.353
2022,15 bis unter 25 Jahre,Weiblich,r,,,79.477
2023,15 bis unter 25 Jahre,Weiblich,,,,79.035
2024,15 bis unter 25 Jahre,Weiblich,p,,,79.117
2010,15 bis unter 25 Jahre,Männlich,,,,74.952
2011,15 bis unter 25 Jahre,Männlich,,,,75.838
2012,15 bis unter 25 Jahre,Männlich,,,,77.082
2013,15 bis unter 25 Jahre,Männlich,,,,78.24
2014,15 bis unter 25 Jahre,Männlich,,,,78.471
2015,15 bis unter 25 Jahre,Männlich,,,,79.403
2016,15 bis unter 25 Jahre,Männlich,,,,78.808
2017,15 bis unter 25 Jahre,Männlich,,,,79.046
2018,15 bis unter 25 Jahre,Männlich,,,,78.651
2019,15 bis unter 25 Jahre,Männlich,,,,78.103
2020,15 bis unter 25 Jahre,Männlich,|,,,79.082
2021,15 bis unter 25 Jahre,Männlich,r,,,76.073
2022,15 bis unter 25 Jahre,Männlich,r,,,76.2
2023,15 bis unter 25 Jahre,Männlich,,,,75.226
2024,15 bis unter 25 Jahre,Männlich,p,,,75.829
2010,,,,,,29.846
2011,,,,,,30.334
2012,,,,,,29.247
2013,,,,,,29.169
2014,,,,,,29.027
2015,,,,,,29.427
2016,,,,,,29.875
2017,,,,,,29.18
2018,,,,,,28.855
2019,,,,,,29.156
2020,,,|,,,27.809
2021,,,r,,,25.034
2022,,,r,,,26.394
2023,,,,,,26.572
2024,,,p,,,28.948
2010,,Weiblich,,,,29.312
2011,,Weiblich,,,,29.642
2012,,Weiblich,,,,28.629
2013,,Weiblich,,,,28.556
2014,,Weiblich,,,,28.463
2015,,Weiblich,,,,28.771
2016,,Weiblich,,,,29.119
2017,,Weiblich,,,,28.47
2018,,Weiblich,,,,28.314
2019,,Weiblich,,,,28.859
2020,,Weiblich,|,,,27.693
2021,,Weiblich,r,,,25.188
2022,,Weiblich,r,,,26.829
2023,,Weiblich,,,,27.084
2024,,Weiblich,p,,,29.36
2010,,Männlich,,,,30.374
2011,,Männlich,,,,31.023
2012,,Männlich,,,,29.862
2013,,Männlich,,,,29.777
2014,,Männlich,,,,29.586
2015,,Männlich,,,,30.073
2016,,Männlich,,,,30.611
2017,,Männlich,,,,29.868
2018,,Männlich,,,,29.383
2019,,Männlich,,,,29.445
2020,,Männlich,|,,,27.923
2021,,Männlich,r,,,24.883
2022,,Männlich,r,,,25.968
2023,,Männlich,,,,26.073
2024,,Männlich,p,,,28.549
2010,25 bis unter 55 Jahre,,,,,23.367
2011,25 bis unter 55 Jahre,,,,,24.092
2012,25 bis unter 55 Jahre,,,,,22.708
2013,25 bis unter 55 Jahre,,,,,22.553
2014,25 bis unter 55 Jahre,,,,,22.407
2015,25 bis unter 55 Jahre,,,,,22.911
2016,25 bis unter 55 Jahre,,,,,23.594
2017,25 bis unter 55 Jahre,,,,,22.651
2018,25 bis unter 55 Jahre,,,,,22.363
2019,25 bis unter 55 Jahre,,,,,22.85
2020,25 bis unter 55 Jahre,,|,,,21.078
2021,25 bis unter 55 Jahre,,r,,,18.238
2022,25 bis unter 55 Jahre,,r,,,19.858
2023,25 bis unter 55 Jahre,,,,,20.074
2024,25 bis unter 55 Jahre,,p,,,23.108
2010,25 bis unter 55 Jahre,Weiblich,,,,22.763
2011,25 bis unter 55 Jahre,Weiblich,,,,23.319
2012,25 bis unter 55 Jahre,Weiblich,,,,22.135
2013,25 bis unter 55 Jahre,Weiblich,,,,22.083
2014,25 bis unter 55 Jahre,Weiblich,,,,21.947
2015,25 bis unter 55 Jahre,Weiblich,,,,22.374
2016,25 bis unter 55 Jahre,Weiblich,,,,22.928
2017,25 bis unter 55 Jahre,Weiblich,,,,21.988
2018,25 bis unter 55 Jahre,Weiblich,,,,21.743
2019,25 bis unter 55 Jahre,Weiblich,,,,22.475
2020,25 bis unter 55 Jahre,Weiblich,|,,,20.892
2021,25 bis unter 55 Jahre,Weiblich,r,,,18.319
2022,25 bis unter 55 Jahre,Weiblich,r,,,20.309
2023,25 bis unter 55 Jahre,Weiblich,,,,20.495
2024,25 bis unter 55 Jahre,Weiblich,p,,,23.671
2010,25 bis unter 55 Jahre,Männlich,,,,23.959
2011,25 bis unter 55 Jahre,Männlich,,,,24.859
2012,25 bis unter 55 Jahre,Männlich,,,,23.274
2013,25 bis unter 55 Jahre,Männlich,,,,23.018
2014,25 bis unter 55 Jahre,Männlich,,,,22.861
2015,25 bis unter 55 Jahre,Männlich,,,,23.437
2016,25 bis unter 55 Jahre,Männlich,,,,24.241
2017,25 bis unter 55 Jahre,Männlich,,,,23.293
2018,25 bis unter 55 Jahre,Männlich,,,,22.965
2019,25 bis unter 55 Jahre,Männlich,,,,23.216
2020,25 bis unter 55 Jahre,Männlich,|,,,21.259
2021,25 bis unter 55 Jahre,Männlich,r,,,18.159
2022,25 bis unter 55 Jahre,Männlich,r,,,19.418
2023,25 bis unter 55 Jahre,Männlich,,,,19.665
2024,25 bis unter 55 Jahre,Männlich,p,,,22.564
2010,55 bis unter 65 Jahre,,,,,10.584
2011,55 bis unter 65 Jahre,,,,,10.946
2012,55 bis unter 65 Jahre,,,,,10.169
2013,55 bis unter 65 Jahre,,,,,10.162
2014,55 bis unter 65 Jahre,,,,,10.446
2015,55 bis unter 65 Jahre,,,,,11.034
2016,55 bis unter 65 Jahre,,,,,11.763
2017,55 bis unter 65 Jahre,,,,,11.193
2018,55 bis unter 65 Jahre,,,,,11.048
2019,55 bis unter 65 Jahre,,,,,11.615
2020,55 bis unter 65 Jahre,,|,,,10.307
2021,55 bis unter 65 Jahre,,r,,,8.375
2022,55 bis unter 65 Jahre,,r,,,9.997
2023,55 bis unter 65 Jahre,,,,,10.359
2024,55 bis unter 65 Jahre,,p,,,12.334
2010,55 bis unter 65 Jahre,Weiblich,,,,9.801
2011,55 bis unter 65 Jahre,Weiblich,,,,10.161
2012,55 bis unter 65 Jahre,Weiblich,,,,9.622
2013,55 bis unter 65 Jahre,Weiblich,,,,9.759
2014,55 bis unter 65 Jahre,Weiblich,,,,10.229
2015,55 bis unter 65 Jahre,Weiblich,,,,10.823
2016,55 bis unter 65 Jahre,Weiblich,,,,11.618
2017,55 bis unter 65 Jahre,Weiblich,,,,11.171
2018,55 bis unter 65 Jahre,Weiblich,,,,11.192
2019,55 bis unter 65 Jahre,Weiblich,,,,11.805
2020,55 bis unter 65 Jahre,Weiblich,|,,,10.775
2021,55 bis unter 65 Jahre,Weiblich,r,,,8.663
2022,55 bis unter 65 Jahre,Weiblich,r,,,10.5
2023,55 bis unter 65 Jahre,Weiblich,,,,11.095
2024,55 bis unter 65 Jahre,Weiblich,p,,,12.56
2010,55 bis unter 65 Jahre,Männlich,,,,11.389
2011,55 bis unter 65 Jahre,Männlich,,,,11.763
2012,55 bis unter 65 Jahre,Männlich,,,,10.743
2013,55 bis unter 65 Jahre,Männlich,,,,10.586
2014,55 bis unter 65 Jahre,Männlich,,,,10.672
2015,55 bis unter 65 Jahre,Männlich,,,,11.255
2016,55 bis unter 65 Jahre,Männlich,,,,11.913
2017,55 bis unter 65 Jahre,Männlich,,,,11.216
2018,55 bis unter 65 Jahre,Männlich,,,,10.9
2019,55 bis unter 65 Jahre,Männlich,,,,11.422
2020,55 bis unter 65 Jahre,Männlich,|,,,9.833
2021,55 bis unter 65 Jahre,Männlich,r,,,8.084
2022,55 bis unter 65 Jahre,Männlich,r,,,9.488
2023,55 bis unter 65 Jahre,Männlich,,,,9.613
2024,55 bis unter 65 Jahre,Männlich,p,,,12.105
