Year,Aktivitäten,Altersklasse,Value
2010,Kopieren oder Verschieben von Dateien und Ordnern,,
2011,Kopieren oder Verschieben von Dateien und Ordnern,,72.0
2012,Kopieren oder Verschieben von Dateien und Ordnern,,68.0
2013,Kopieren oder Verschieben von Dateien und Ordnern,,
2014,Kopieren oder Verschieben von Dateien und Ordnern,,76.0
2015,Kopieren oder Verschieben von Dateien und Ordnern,,68.0
2016,Kopieren oder Verschieben von Dateien und Ordnern,,68.0
2017,Kopieren oder Verschieben von Dateien und Ordnern,,69.0
2018,Kopieren oder Verschieben von Dateien und Ordnern,,
2019,Kopieren oder Verschieben von Dateien und Ordnern,,71.0
2010,"Verwendung von Werkzeugen zum Kopieren oder Ausschneiden und Einfügen, um Informationen auf dem Bildschirm zu duplizieren oder zu verschieben",,
2011,"Verwendung von Werkzeugen zum Kopieren oder Ausschneiden und Einfügen, um Informationen auf dem Bildschirm zu duplizieren oder zu verschieben",,70.0
2012,"Verwendung von Werkzeugen zum Kopieren oder Ausschneiden und Einfügen, um Informationen auf dem Bildschirm zu duplizieren oder zu verschieben",,66.0
2013,"Verwendung von Werkzeugen zum Kopieren oder Ausschneiden und Einfügen, um Informationen auf dem Bildschirm zu duplizieren oder zu verschieben",,
2014,"Verwendung von Werkzeugen zum Kopieren oder Ausschneiden und Einfügen, um Informationen auf dem Bildschirm zu duplizieren oder zu verschieben",,74.0
2015,"Verwendung von Werkzeugen zum Kopieren oder Ausschneiden und Einfügen, um Informationen auf dem Bildschirm zu duplizieren oder zu verschieben",,
2016,"Verwendung von Werkzeugen zum Kopieren oder Ausschneiden und Einfügen, um Informationen auf dem Bildschirm zu duplizieren oder zu verschieben",,
2017,"Verwendung von Werkzeugen zum Kopieren oder Ausschneiden und Einfügen, um Informationen auf dem Bildschirm zu duplizieren oder zu verschieben",,
2018,"Verwendung von Werkzeugen zum Kopieren oder Ausschneiden und Einfügen, um Informationen auf dem Bildschirm zu duplizieren oder zu verschieben",,
2019,"Verwendung von Werkzeugen zum Kopieren oder Ausschneiden und Einfügen, um Informationen auf dem Bildschirm zu duplizieren oder zu verschieben",,
2010,Schreiben eines Programmes in einer Programmiersprache,,
2011,Schreiben eines Programmes in einer Programmiersprache,,
2012,Schreiben eines Programmes in einer Programmiersprache,,
2013,Schreiben eines Programmes in einer Programmiersprache,,
2014,Schreiben eines Programmes in einer Programmiersprache,,
2015,Schreiben eines Programmes in einer Programmiersprache,,6.0
2016,Schreiben eines Programmes in einer Programmiersprache,,6.0
2017,Schreiben eines Programmes in einer Programmiersprache,,6.0
2018,Schreiben eines Programmes in einer Programmiersprache,,
2019,Schreiben eines Programmes in einer Programmiersprache,,6.0
2010,"Anschließen und Installieren neuer Geräte, z. B. eines Druckers oder eines Modems",,
2011,"Anschließen und Installieren neuer Geräte, z. B. eines Druckers oder eines Modems",,45.0
