Year,Art der Versorgungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Zugang zu Elektrizität,s,,,100
2011,Zugang zu Elektrizität,s,,,100
2012,Zugang zu Elektrizität,s,,,100
2013,Zugang zu Elektrizität,s,,,100
2014,Zugang zu Elektrizität,s,,,100
2015,Zugang zu Elektrizität,s,,,100
2016,Zugang zu Elektrizität,s,,,100
2017,Zugang zu Elektrizität,s,,,100
2018,Zugang zu Elektrizität,s,,,100
2019,Zugang zu Elektrizität,s,,,100
2020,Zugang zu Elektrizität,s,,,100
2021,Zugang zu Elektrizität,s,,,100
2022,Zugang zu Elektrizität,s,,,100
2023,Zugang zu Elektrizität,s,,,100
2024,Zugang zu Elektrizität,s,,,100
2025,Zugang zu Elektrizität,s,,,100
2026,Zugang zu Elektrizität,s,,,100
2010,Zugang zu Trinkwasser,s,,,100
2011,Zugang zu Trinkwasser,s,,,100
2012,Zugang zu Trinkwasser,s,,,100
2013,Zugang zu Trinkwasser,s,,,100
2014,Zugang zu Trinkwasser,s,,,100
2015,Zugang zu Trinkwasser,s,,,100
2016,Zugang zu Trinkwasser,s,,,100
2017,Zugang zu Trinkwasser,s,,,100
2018,Zugang zu Trinkwasser,s,,,100
2019,Zugang zu Trinkwasser,s,,,100
2020,Zugang zu Trinkwasser,s,,,100
2021,Zugang zu Trinkwasser,s,,,100
2022,Zugang zu Trinkwasser,s,,,100
2023,Zugang zu Trinkwasser,s,,,100
2024,Zugang zu Trinkwasser,s,,,100
2025,Zugang zu Trinkwasser,s,,,100
2026,Zugang zu Trinkwasser,s,,,100
2010,"Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2011,"Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2012,"Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2013,"Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2014,"Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2015,"Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2016,"Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2017,"Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2018,"Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2019,"Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2020,"Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2021,"Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2022,"Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2023,"Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2024,"Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2025,"Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2026,"Zugang zu geschlechterspezifischen, grundlegenden sanitären Anlagen",s,,,100
2010,Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2011,Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2012,Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2013,Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2014,Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2015,Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2016,Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2017,Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2018,Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2019,Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2020,Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2021,Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2022,Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2023,Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2024,Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2025,Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
2026,Zugang zu grundlegenden Einrichtungen zum Händewaschen,s,,,100
