Year,Zeitreihe,Value
2010,Anteil der Fließgewässer mit gutem ökologischem Zustand für Gesamt-Phosphor,32.1
2011,Anteil der Fließgewässer mit gutem ökologischem Zustand für Gesamt-Phosphor,38.2
2012,Anteil der Fließgewässer mit gutem ökologischem Zustand für Gesamt-Phosphor,35.7
2013,Anteil der Fließgewässer mit gutem ökologischem Zustand für Gesamt-Phosphor,36.1
2014,Anteil der Fließgewässer mit gutem ökologischem Zustand für Gesamt-Phosphor,34.8
2015,Anteil der Fließgewässer mit gutem ökologischem Zustand für Gesamt-Phosphor,30.6
2016,Anteil der Fließgewässer mit gutem ökologischem Zustand für Gesamt-Phosphor,37.1
2017,Anteil der Fließgewässer mit gutem ökologischem Zustand für Gesamt-Phosphor,35.5
2018,Anteil der Fließgewässer mit gutem ökologischem Zustand für Gesamt-Phosphor,44.3
2019,Anteil der Fließgewässer mit gutem ökologischem Zustand für Gesamt-Phosphor,42.8
2020,Anteil der Fließgewässer mit gutem ökologischem Zustand für Gesamt-Phosphor,41.7
2010,Anteil der Grundwassermessstellen unterhalb des Schwellenwertes für Nitrat,81.7
2011,Anteil der Grundwassermessstellen unterhalb des Schwellenwertes für Nitrat,82.0
2012,Anteil der Grundwassermessstellen unterhalb des Schwellenwertes für Nitrat,81.0
2013,Anteil der Grundwassermessstellen unterhalb des Schwellenwertes für Nitrat,81.4
2014,Anteil der Grundwassermessstellen unterhalb des Schwellenwertes für Nitrat,81.8
2015,Anteil der Grundwassermessstellen unterhalb des Schwellenwertes für Nitrat,81.0
2016,Anteil der Grundwassermessstellen unterhalb des Schwellenwertes für Nitrat,81.8
2017,Anteil der Grundwassermessstellen unterhalb des Schwellenwertes für Nitrat,83.1
2018,Anteil der Grundwassermessstellen unterhalb des Schwellenwertes für Nitrat,82.7
2019,Anteil der Grundwassermessstellen unterhalb des Schwellenwertes für Nitrat,84.2
2020,Anteil der Grundwassermessstellen unterhalb des Schwellenwertes für Nitrat,84.1
