Year,Wassernutzungsindex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Anteil der Entnahme an den erneuerbaren Wasserressourcen,r,,,16.4
2011,Anteil der Entnahme an den erneuerbaren Wasserressourcen,.,,,
2012,Anteil der Entnahme an den erneuerbaren Wasserressourcen,.,,,
2013,Anteil der Entnahme an den erneuerbaren Wasserressourcen,r,,,13.87
2014,Anteil der Entnahme an den erneuerbaren Wasserressourcen,.,,,
2015,Anteil der Entnahme an den erneuerbaren Wasserressourcen,.,,,
2016,Anteil der Entnahme an den erneuerbaren Wasserressourcen,r,,,15.67
2017,Anteil der Entnahme an den erneuerbaren Wasserressourcen,.,,,
2018,Anteil der Entnahme an den erneuerbaren Wasserressourcen,.,,,
2019,Anteil der Entnahme an den erneuerbaren Wasserressourcen,,,,16.25
2010,Anteil der Entnahme an den erneuerbaren Wasserressourcen (ohne Kühlwasser),r,,,4.41
2011,Anteil der Entnahme an den erneuerbaren Wasserressourcen (ohne Kühlwasser),.,,,
2012,Anteil der Entnahme an den erneuerbaren Wasserressourcen (ohne Kühlwasser),.,,,
2013,Anteil der Entnahme an den erneuerbaren Wasserressourcen (ohne Kühlwasser),r,,,4.79
2014,Anteil der Entnahme an den erneuerbaren Wasserressourcen (ohne Kühlwasser),.,,,
2015,Anteil der Entnahme an den erneuerbaren Wasserressourcen (ohne Kühlwasser),.,,,
2016,Anteil der Entnahme an den erneuerbaren Wasserressourcen (ohne Kühlwasser),r,,,5.56
2017,Anteil der Entnahme an den erneuerbaren Wasserressourcen (ohne Kühlwasser),.,,,
2018,Anteil der Entnahme an den erneuerbaren Wasserressourcen (ohne Kühlwasser),.,,,
2019,Anteil der Entnahme an den erneuerbaren Wasserressourcen (ohne Kühlwasser),,,,6.96
