Year,Units,Ökosystem,Series,Value
2017,Prozent,Permanente Wasserfläche der Seen und Flüsse,Veränderung der Fläche im Vergleich zu 2015,
2018,Prozent,Permanente Wasserfläche der Seen und Flüsse,Veränderung der Fläche im Vergleich zu 2015,0.519
2019,Prozent,Permanente Wasserfläche der Seen und Flüsse,Veränderung der Fläche im Vergleich zu 2015,
2017,Prozent,Feuchtgebiete,Veränderung der Fläche im Vergleich zu 2015,
2018,Prozent,Feuchtgebiete,Veränderung der Fläche im Vergleich zu 2015,0.711
2019,Prozent,Feuchtgebiete,Veränderung der Fläche im Vergleich zu 2015,
2017,Prozent,Künstliche oder erheblich veränderte große Seen,Veränderung der Fläche im Vergleich zu 2015,
2018,Prozent,Künstliche oder erheblich veränderte große Seen,Veränderung der Fläche im Vergleich zu 2015,3.501
2019,Prozent,Künstliche oder erheblich veränderte große Seen,Veränderung der Fläche im Vergleich zu 2015,
2015,km²,Permanente Wasserfläche der Seen und Flüsse,Fläche,5851.0
2018,km²,Permanente Wasserfläche der Seen und Flüsse,Fläche,5881.0
2015,km²,Feuchtgebiete,Fläche,1548.0
2018,km²,Feuchtgebiete,Fläche,1559.0
2015,km²,Künstliche oder erheblich veränderte große Seen,Fläche,457.0
2018,km²,Künstliche oder erheblich veränderte große Seen,Fläche,473.0
2015,Prozent,Permanente Wasserfläche der Seen und Flüsse,Fläche im Verhältnis zur gesamten Landfläche,1.635
2018,Prozent,Permanente Wasserfläche der Seen und Flüsse,Fläche im Verhältnis zur gesamten Landfläche,1.644
2015,Prozent,Feuchtgebiete,Fläche im Verhältnis zur gesamten Landfläche,0.433
2018,Prozent,Feuchtgebiete,Fläche im Verhältnis zur gesamten Landfläche,0.436
2015,Prozent,Künstliche oder erheblich veränderte große Seen,Fläche im Verhältnis zur gesamten Landfläche,0.128
2018,Prozent,Künstliche oder erheblich veränderte große Seen,Fläche im Verhältnis zur gesamten Landfläche,0.132
