Year,Kontenart,Value
2010,,
2011,,
2012,,
2013,,
2014,,145480.0
2015,,148138.0
2016,,150897.0
2017,,151359.0
2018,,153183.0
2019,,155998.0
2020,,159637.0
2021,,163161.0
2010,Online-Konten,
2011,Online-Konten,
2012,Online-Konten,
2013,Online-Konten,
2014,Online-Konten,78631.0
2015,Online-Konten,81488.0
2016,Online-Konten,85985.0
2017,Online-Konten,89337.0
2018,Online-Konten,93527.0
2019,Online-Konten,98968.0
2020,Online-Konten,104023.0
2021,Online-Konten,110759.0
2010,Girokonten,94982.0
2011,Girokonten,95684.0
2012,Girokonten,96858.0
2013,Girokonten,98512.0
2014,Girokonten,99875.0
2015,Girokonten,101661.0
2016,Girokonten,103844.0
2017,Girokonten,103846.0
2018,Girokonten,105927.0
2019,Girokonten,107946.0
2020,Girokonten,109636.0
2021,Girokonten,113879.0
