Year,Zeitreihe,Geschlecht,Value
2010,Tödlich,,1.2
2011,Tödlich,,1.2
2012,Tödlich,,1.2
2013,Tödlich,,1.0
2014,Tödlich,,1.2
2015,Tödlich,,1.0
2016,Tödlich,,1.0
2017,Tödlich,,0.9
2018,Tödlich,,0.8
2010,Nicht-tödlich,,1976.1
2011,Nicht-tödlich,,2058.3
2012,Nicht-tödlich,,1956.3
2013,Nicht-tödlich,,1900.0
2014,Nicht-tödlich,,1977.3
2015,Nicht-tödlich,,1930.6
2016,Nicht-tödlich,,1950.9
2017,Nicht-tödlich,,1819.6
2018,Nicht-tödlich,,1721.6
2010,Nicht-tödlich,Weiblich,1022.7
2011,Nicht-tödlich,Weiblich,1004.4
2012,Nicht-tödlich,Weiblich,998.3
2013,Nicht-tödlich,Weiblich,1010.1
2014,Nicht-tödlich,Weiblich,1098.4
2015,Nicht-tödlich,Weiblich,1094.0
2016,Nicht-tödlich,Weiblich,1097.3
2017,Nicht-tödlich,Weiblich,987.7
2018,Nicht-tödlich,Weiblich,920.1
2010,Nicht-tödlich,Männlich,2806.8
2011,Nicht-tödlich,Männlich,3015.8
2012,Nicht-tödlich,Männlich,2820.5
2013,Nicht-tödlich,Männlich,2718.5
2014,Nicht-tödlich,Männlich,2780.6
2015,Nicht-tödlich,Männlich,2694.4
2016,Nicht-tödlich,Männlich,2734.3
2017,Nicht-tödlich,Männlich,2578.2
2018,Nicht-tödlich,Männlich,2453.0
