Year,Wirtschaftszweig,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Erwerbstätige,
2011,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Erwerbstätige,
2012,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Erwerbstätige,
2013,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Erwerbstätige,
2014,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Erwerbstätige,
2015,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Erwerbstätige,
2016,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Erwerbstätige,
2017,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Erwerbstätige,
2018,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Erwerbstätige,
2019,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Erwerbstätige,
2020,Beherbergung: Hotels und ähnliche Beherbergungsstätten,,,,Erwerbstätige,433154.0
2021,Beherbergung: Hotels und ähnliche Beherbergungsstätten,,,,Erwerbstätige,458101.0
2022,Beherbergung: Hotels und ähnliche Beherbergungsstätten,,,,Erwerbstätige,493938.0
2023,Beherbergung: Hotels und ähnliche Beherbergungsstätten,,,,Erwerbstätige,498001.0
2010,Beherbergung: Sonstige Beherbergungsstätten,.,,,Erwerbstätige,
2011,Beherbergung: Sonstige Beherbergungsstätten,.,,,Erwerbstätige,
2012,Beherbergung: Sonstige Beherbergungsstätten,.,,,Erwerbstätige,
2013,Beherbergung: Sonstige Beherbergungsstätten,.,,,Erwerbstätige,
2014,Beherbergung: Sonstige Beherbergungsstätten,.,,,Erwerbstätige,
2015,Beherbergung: Sonstige Beherbergungsstätten,.,,,Erwerbstätige,
2016,Beherbergung: Sonstige Beherbergungsstätten,.,,,Erwerbstätige,
2017,Beherbergung: Sonstige Beherbergungsstätten,.,,,Erwerbstätige,
2018,Beherbergung: Sonstige Beherbergungsstätten,.,,,Erwerbstätige,
2019,Beherbergung: Sonstige Beherbergungsstätten,.,,,Erwerbstätige,
2020,Beherbergung: Sonstige Beherbergungsstätten,,,,Erwerbstätige,521462.0
2021,Beherbergung: Sonstige Beherbergungsstätten,,,,Erwerbstätige,691160.0
2022,Beherbergung: Sonstige Beherbergungsstätten,,,,Erwerbstätige,667494.0
2023,Beherbergung: Sonstige Beherbergungsstätten,,,,Erwerbstätige,664668.0
2010,Gaststätten- und Getränkeausschank,.,,,Erwerbstätige,
2011,Gaststätten- und Getränkeausschank,.,,,Erwerbstätige,
2012,Gaststätten- und Getränkeausschank,.,,,Erwerbstätige,
2013,Gaststätten- und Getränkeausschank,.,,,Erwerbstätige,
2014,Gaststätten- und Getränkeausschank,.,,,Erwerbstätige,
2015,Gaststätten- und Getränkeausschank,.,,,Erwerbstätige,
2016,Gaststätten- und Getränkeausschank,.,,,Erwerbstätige,
2017,Gaststätten- und Getränkeausschank,.,,,Erwerbstätige,
2018,Gaststätten- und Getränkeausschank,.,,,Erwerbstätige,
2019,Gaststätten- und Getränkeausschank,.,,,Erwerbstätige,
2020,Gaststätten- und Getränkeausschank,,,,Erwerbstätige,1336699.0
2021,Gaststätten- und Getränkeausschank,,,,Erwerbstätige,1457238.0
2022,Gaststätten- und Getränkeausschank,,,,Erwerbstätige,1514878.0
2023,Gaststätten- und Getränkeausschank,,,,Erwerbstätige,1541245.0
2022,Personenbeförderung im Eisenbahnverkehr,,,,Erwerbstätige,25222.0
2023,Personenbeförderung im Eisenbahnverkehr,,,,Erwerbstätige,25745.0
2010,Personenbeförderung im Straßenverkehr,.,,,Erwerbstätige,
2011,Personenbeförderung im Straßenverkehr,.,,,Erwerbstätige,
2012,Personenbeförderung im Straßenverkehr,.,,,Erwerbstätige,
2013,Personenbeförderung im Straßenverkehr,.,,,Erwerbstätige,
2014,Personenbeförderung im Straßenverkehr,.,,,Erwerbstätige,
2015,Personenbeförderung im Straßenverkehr,.,,,Erwerbstätige,
2016,Personenbeförderung im Straßenverkehr,.,,,Erwerbstätige,
2017,Personenbeförderung im Straßenverkehr,.,,,Erwerbstätige,
2018,Personenbeförderung im Straßenverkehr,.,,,Erwerbstätige,
2019,Personenbeförderung im Straßenverkehr,.,,,Erwerbstätige,
2020,Personenbeförderung im Straßenverkehr,,,,Erwerbstätige,164649.0
2021,Personenbeförderung im Straßenverkehr,,,,Erwerbstätige,186530.0
2022,Personenbeförderung im Straßenverkehr,,,,Erwerbstätige,194485.0
2023,Personenbeförderung im Straßenverkehr,,,,Erwerbstätige,205032.0
2010,Personenbeförderung in der Schifffahrt,.,,,Erwerbstätige,
2011,Personenbeförderung in der Schifffahrt,.,,,Erwerbstätige,
2012,Personenbeförderung in der Schifffahrt,.,,,Erwerbstätige,
2013,Personenbeförderung in der Schifffahrt,.,,,Erwerbstätige,
2014,Personenbeförderung in der Schifffahrt,.,,,Erwerbstätige,
2015,Personenbeförderung in der Schifffahrt,.,,,Erwerbstätige,
2016,Personenbeförderung in der Schifffahrt,.,,,Erwerbstätige,
2017,Personenbeförderung in der Schifffahrt,.,,,Erwerbstätige,
2018,Personenbeförderung in der Schifffahrt,.,,,Erwerbstätige,
2019,Personenbeförderung in der Schifffahrt,.,,,Erwerbstätige,
2020,Personenbeförderung in der Schifffahrt,,,,Erwerbstätige,8614.0
2021,Personenbeförderung in der Schifffahrt,,,,Erwerbstätige,8756.0
2022,Personenbeförderung in der Schifffahrt,,,,Erwerbstätige,9206.0
2023,Personenbeförderung in der Schifffahrt,,,,Erwerbstätige,8967.0
2010,Personenbeförderung in der Luftfahrt,.,,,Erwerbstätige,
2011,Personenbeförderung in der Luftfahrt,.,,,Erwerbstätige,
2012,Personenbeförderung in der Luftfahrt,.,,,Erwerbstätige,
2013,Personenbeförderung in der Luftfahrt,.,,,Erwerbstätige,
2014,Personenbeförderung in der Luftfahrt,.,,,Erwerbstätige,
2015,Personenbeförderung in der Luftfahrt,.,,,Erwerbstätige,
2016,Personenbeförderung in der Luftfahrt,.,,,Erwerbstätige,
2017,Personenbeförderung in der Luftfahrt,.,,,Erwerbstätige,
2018,Personenbeförderung in der Luftfahrt,.,,,Erwerbstätige,
2019,Personenbeförderung in der Luftfahrt,.,,,Erwerbstätige,
2020,Personenbeförderung in der Luftfahrt,,,,Erwerbstätige,58297.0
2021,Personenbeförderung in der Luftfahrt,,,,Erwerbstätige,54734.0
2022,Personenbeförderung in der Luftfahrt,,,,Erwerbstätige,52686.0
2023,Personenbeförderung in der Luftfahrt,,,,Erwerbstätige,57060.0
2010,Vermietung von Transportmitteln,.,,,Erwerbstätige,
2011,Vermietung von Transportmitteln,.,,,Erwerbstätige,
2012,Vermietung von Transportmitteln,.,,,Erwerbstätige,
2013,Vermietung von Transportmitteln,.,,,Erwerbstätige,
2014,Vermietung von Transportmitteln,.,,,Erwerbstätige,
2015,Vermietung von Transportmitteln,.,,,Erwerbstätige,
2016,Vermietung von Transportmitteln,.,,,Erwerbstätige,
2017,Vermietung von Transportmitteln,.,,,Erwerbstätige,
2018,Vermietung von Transportmitteln,.,,,Erwerbstätige,
2019,Vermietung von Transportmitteln,.,,,Erwerbstätige,
2020,Vermietung von Transportmitteln,,,,Erwerbstätige,34896.0
2021,Vermietung von Transportmitteln,,,,Erwerbstätige,41038.0
2022,Vermietung von Transportmitteln,,,,Erwerbstätige,45861.0
2023,Vermietung von Transportmitteln,,,,Erwerbstätige,43418.0
2010,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,Erwerbstätige,
2011,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,Erwerbstätige,
2012,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,Erwerbstätige,
2013,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,Erwerbstätige,
2014,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,Erwerbstätige,
2015,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,Erwerbstätige,
2016,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,Erwerbstätige,
2017,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,Erwerbstätige,
2018,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,Erwerbstätige,
2019,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",.,,,Erwerbstätige,
2020,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",,,,Erwerbstätige,81779.0
2021,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",,,,Erwerbstätige,79189.0
2022,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",,,,Erwerbstätige,88512.0
2023,"Reisebüros, Reiseveranstalter und sonstige Reservierungsdienstleistungen",,,,Erwerbstätige,84618.0
2021,Kulturelle Dienstleistungen,,,,Erwerbstätige,93922.0
2022,Kulturelle Dienstleistungen,,,,Erwerbstätige,104048.0
2023,Kulturelle Dienstleistungen,,,,Erwerbstätige,109369.0
2021,Dienstleistungen des Sports und der Erholung,,,,Erwerbstätige,306401.0
2022,Dienstleistungen des Sports und der Erholung,,,,Erwerbstätige,320884.0
2023,Dienstleistungen des Sports und der Erholung,,,,Erwerbstätige,312225.0
2010,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Beschäftigte,
2011,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Beschäftigte,
2012,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Beschäftigte,
2013,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Beschäftigte,
2014,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Beschäftigte,
2015,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Beschäftigte,
2016,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Beschäftigte,
2017,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Beschäftigte,
2018,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Beschäftigte,
2019,Beherbergung: Hotels und ähnliche Beherbergungsstätten,.,,,Beschäftigte,
2020,Beherbergung: Hotels und ähnliche Beherbergungsstätten,,,,Beschäftigte,387316.0
2021,Beherbergung: Hotels und ähnliche Beherbergungsstätten,,,,Beschäftigte,412861.0
2022,Beherbergung: Hotels und ähnliche Beherbergungsstätten,,,,Beschäftigte,447744.0
2023,Beherbergung: Hotels und ähnliche Beherbergungsstätten,,,,Beschäftigte,451432.0
2010,Beherbergung: Sonstige Beherbergungsstätten,.,,,Beschäftigte,
2011,Beherbergung: Sonstige Beherbergungsstätten,.,,,Beschäftigte,
