Year,Units,Zeitreihe,Verkehrsträger,Value
2010,Millionen Personenkilometer,Personenverkehr,,1117240
2011,Millionen Personenkilometer,Personenverkehr,,1131004
2012,Millionen Personenkilometer,Personenverkehr,,1135558
2013,Millionen Personenkilometer,Personenverkehr,,1143475
2014,Millionen Personenkilometer,Personenverkehr,,1162942
2015,Millionen Personenkilometer,Personenverkehr,,1180646
2016,Millionen Personenkilometer,Personenverkehr,,1204775
2017,Millionen Personenkilometer,Personenverkehr,,1155136
2018,Millionen Personenkilometer,Personenverkehr,,1161885
2019,Millionen Personenkilometer,Personenverkehr,,1170186
2020,Millionen Personenkilometer,Personenverkehr,,945755
2010,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,78092
2011,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,77957
2012,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,76019
2013,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,76146
2014,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,78786
2015,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,81771
2016,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,81445
2017,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,79730
2018,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,80103
2019,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,78919
2020,Millionen Personenkilometer,Personenverkehr,Straßenverkehr,45735
2010,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,83886
2011,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,85414
2012,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,88795
2013,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,89615
2014,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,90976
2015,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,91603
2016,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,94196
2017,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,95530
2018,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,98061
2019,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,102026
2020,Millionen Personenkilometer,Personenverkehr,Eisenbahnverkehr,58816
2010,Millionen Personenkilometer,Personenverkehr,Luftverkehr,52822
