Year,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,,,,CO₂-Emissionen zum realen BIP,268.0
2011,,,,CO₂-Emissionen zum realen BIP,251.4
2012,,,,CO₂-Emissionen zum realen BIP,253.2
2013,,,,CO₂-Emissionen zum realen BIP,257.7
2014,,,,CO₂-Emissionen zum realen BIP,240.3
2015,,,,CO₂-Emissionen zum realen BIP,238.9
2016,,,,CO₂-Emissionen zum realen BIP,232.7
2017,,,,CO₂-Emissionen zum realen BIP,222.7
2018,r,,,CO₂-Emissionen zum realen BIP,213.0
2019,r,,,CO₂-Emissionen zum realen BIP,197.0
2020,r,,,CO₂-Emissionen zum realen BIP,187.6
2021,r,,,CO₂-Emissionen zum realen BIP,189.6
2022,r,,,CO₂-Emissionen zum realen BIP,184.2
2023,,,,CO₂-Emissionen zum realen BIP,164.2
2010,,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,317.1
2011,,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,288.7
2012,,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,288.4
2013,,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,287.5
2014,,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,271.2
2015,,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,279.1
2016,,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,272.6
2017,,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,270.5
2018,,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,257.3
2019,,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,254.8
2020,,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,268.9
2021,p,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,260.8
2022,p,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,237.6
2023,p,,,CO₂-Emissionen zur Bruttowertschöpfung (preisbereinigt) im Verarbeitenden Gewerbe,222.2
