Year,Unternehmensdefinition,Technologiesektoren,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Rechtliche Einheiten,,,,,59.0
2011,Rechtliche Einheiten,,,,,59.0
2012,Rechtliche Einheiten,,,,,59.0
2013,Rechtliche Einheiten,,,,,59.0
2014,Rechtliche Einheiten,,,,,61.0
2015,Rechtliche Einheiten,,,,,61.0
2016,Rechtliche Einheiten,,,,,61.0
2017,Rechtliche Einheiten,,,,,61.0
2018,Rechtliche Einheiten,,,,,61.0
2019,Rechtliche Einheiten,,,,,61.0
2020,Rechtliche Einheiten,,,,,60.0
2021,Rechtliche Einheiten,,,,,60.0
2022,Rechtliche Einheiten,,…,,,
2023,Rechtliche Einheiten,,…,,,
2010,Rechtliche Einheiten,Medium-High-Tech,,,,49.0
2011,Rechtliche Einheiten,Medium-High-Tech,,,,50.0
2012,Rechtliche Einheiten,Medium-High-Tech,,,,50.0
2013,Rechtliche Einheiten,Medium-High-Tech,,,,50.0
2014,Rechtliche Einheiten,Medium-High-Tech,,,,51.0
2015,Rechtliche Einheiten,Medium-High-Tech,,,,51.0
2016,Rechtliche Einheiten,Medium-High-Tech,,,,51.0
2017,Rechtliche Einheiten,Medium-High-Tech,,,,51.0
2018,Rechtliche Einheiten,Medium-High-Tech,,,,51.0
2019,Rechtliche Einheiten,Medium-High-Tech,,,,50.0
2020,Rechtliche Einheiten,Medium-High-Tech,,,,49.0
2021,Rechtliche Einheiten,Medium-High-Tech,,,,49.0
2022,Rechtliche Einheiten,Medium-High-Tech,…,,,
2023,Rechtliche Einheiten,Medium-High-Tech,…,,,
2010,Rechtliche Einheiten,High-Tech,,,,10.0
2011,Rechtliche Einheiten,High-Tech,,,,10.0
2012,Rechtliche Einheiten,High-Tech,,,,10.0
2013,Rechtliche Einheiten,High-Tech,,,,10.0
2014,Rechtliche Einheiten,High-Tech,,,,10.0
2015,Rechtliche Einheiten,High-Tech,,,,10.0
2016,Rechtliche Einheiten,High-Tech,,,,10.0
2017,Rechtliche Einheiten,High-Tech,,,,10.0
2018,Rechtliche Einheiten,High-Tech,,,,10.0
2019,Rechtliche Einheiten,High-Tech,,,,11.0
2020,Rechtliche Einheiten,High-Tech,,,,11.0
2021,Rechtliche Einheiten,High-Tech,,,,11.0
2022,Rechtliche Einheiten,High-Tech,…,,,
2023,Rechtliche Einheiten,High-Tech,…,,,
2010,EU-Unternehmensdefinition,,.,,,
2011,EU-Unternehmensdefinition,,.,,,
2012,EU-Unternehmensdefinition,,.,,,
2013,EU-Unternehmensdefinition,,.,,,
2014,EU-Unternehmensdefinition,,.,,,
2015,EU-Unternehmensdefinition,,.,,,
2016,EU-Unternehmensdefinition,,.,,,
2017,EU-Unternehmensdefinition,,.,,,
2018,EU-Unternehmensdefinition,,,,,60.668
2019,EU-Unternehmensdefinition,,,,,60.769
2020,EU-Unternehmensdefinition,,,,,60.648
2021,EU-Unternehmensdefinition,,r,,,60.607
2022,EU-Unternehmensdefinition,,r,,,60.049
2023,EU-Unternehmensdefinition,,,,,60.926
2010,EU-Unternehmensdefinition,Medium-High-Tech,.,,,
2011,EU-Unternehmensdefinition,Medium-High-Tech,.,,,
2012,EU-Unternehmensdefinition,Medium-High-Tech,.,,,
2013,EU-Unternehmensdefinition,Medium-High-Tech,.,,,
2014,EU-Unternehmensdefinition,Medium-High-Tech,.,,,
2015,EU-Unternehmensdefinition,Medium-High-Tech,.,,,
2016,EU-Unternehmensdefinition,Medium-High-Tech,.,,,
2017,EU-Unternehmensdefinition,Medium-High-Tech,.,,,
2018,EU-Unternehmensdefinition,Medium-High-Tech,,,,50.512
2019,EU-Unternehmensdefinition,Medium-High-Tech,,,,49.637
2020,EU-Unternehmensdefinition,Medium-High-Tech,,,,48.744
2021,EU-Unternehmensdefinition,Medium-High-Tech,r,,,49.646
2022,EU-Unternehmensdefinition,Medium-High-Tech,r,,,48.979
2023,EU-Unternehmensdefinition,Medium-High-Tech,,,,49.208
2010,EU-Unternehmensdefinition,High-Tech,.,,,
2011,EU-Unternehmensdefinition,High-Tech,.,,,
2012,EU-Unternehmensdefinition,High-Tech,.,,,
2013,EU-Unternehmensdefinition,High-Tech,.,,,
2014,EU-Unternehmensdefinition,High-Tech,.,,,
2015,EU-Unternehmensdefinition,High-Tech,.,,,
2016,EU-Unternehmensdefinition,High-Tech,.,,,
2017,EU-Unternehmensdefinition,High-Tech,.,,,
2018,EU-Unternehmensdefinition,High-Tech,,,,10.156
2019,EU-Unternehmensdefinition,High-Tech,,,,11.132
2020,EU-Unternehmensdefinition,High-Tech,,,,11.904
2021,EU-Unternehmensdefinition,High-Tech,r,,,10.961
2022,EU-Unternehmensdefinition,High-Tech,r,,,11.07
2023,EU-Unternehmensdefinition,High-Tech,,,,11.719
