Year,Zeitreihe,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,
2011,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,
2012,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,
2013,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,
2014,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,
2015,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,20.0
2016,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,19.8
2017,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,18.8
2018,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,18.5
2019,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,17.3
2020,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,|,,,20.4
2021,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,21.0
2022,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,21.1
2023,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,,,,21.3
2024,Von Armut oder sozialer Ausgrenzung bedrohte Personen,,p,,,20.9
2010,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Weiblich,,,,
2011,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Weiblich,,,,
2012,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Weiblich,,,,
2013,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Weiblich,,,,
2014,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Weiblich,,,,
2015,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Weiblich,,,,21.3
2016,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Weiblich,,,,21.3
2017,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Weiblich,,,,20.1
2018,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Weiblich,,,,19.6
2019,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Weiblich,,,,18.4
2020,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Weiblich,|,,,21.2
2021,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Weiblich,,,,21.7
2022,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Weiblich,,,,21.9
2023,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Weiblich,,,,22.1
2024,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Weiblich,p,,,21.8
2010,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Männlich,,,,
2011,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Männlich,,,,
2012,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Männlich,,,,
2013,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Männlich,,,,
2014,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Männlich,,,,
2015,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Männlich,,,,18.6
2016,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Männlich,,,,18.3
2017,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Männlich,,,,17.4
2018,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Männlich,,,,17.4
2019,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Männlich,,,,16.1
2020,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Männlich,|,,,19.5
2021,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Männlich,,,,20.2
2022,Von Armut oder sozialer Ausgrenzung bedrohte Personen,Männlich,,,,20.3
