Year,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,,,,4.3
2011,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,,,,4.36
2012,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,,,,4.73
2013,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,,,,5.45
2014,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,,,,5.61
2015,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,,,,5.94
2016,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,,,,5.98
2017,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,,,,6.33
2018,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,,,,6.47
2019,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,|,,,6.31
2020,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,,,,5.93
2021,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,,,,5.94
2022,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,|,,,7.29
2023,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,,,,7.3
2024,Relation zwischen regulatorischen Eigenmitteln und anrechnungspflichtigen Positionen,…,,,
2010,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,,,,11.83
2011,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,,,,12.14
2012,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,,,,14.18
2013,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,,,,15.57
2014,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,,,,15.35
2015,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,,,,15.72
2016,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,,,,16.28
2017,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,,,,16.93
2018,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,,,,16.62
2019,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,|,,,16.54
2020,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,,,,17.15
2021,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,,,,16.84
2022,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,|,,,17.15
2023,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,,,,17.69
2024,Relation zwischen regulatori-schem Kernkapital (Tier 1) und anrechnungspflichtigen Positionen,,,,18.25
2010,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,,,,34.22
2011,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,,,,31.63
2012,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,,,,27.41
2013,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,,,,24.98
2014,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,,,,21.28
2015,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,,,,17.36
2016,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,,,,14.68
2017,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,,,,11.89
2018,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,,,,9.06
2019,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,|,,,7.43
2020,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,,,,7.85
2021,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,,,,6.93
2022,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,|,,,13.3
2023,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,,,,16.08
2024,Relation zwischen notleiden-den Krediten (abzüglich Risikovorsorge) und bilanziellem Eigenkapital,,,,18.58
2010,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,,,,3.2
2011,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,,,,3.03
2012,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,,,,2.86
2013,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,,,,2.7
2014,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,,,,2.34
