Year,Migrationspolitischer Bereich,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018/2019,,,,,2
2020/2021,,,,,3
2018/2019,1) Rechte von Migranten,,,,3
2020/2021,1) Rechte von Migranten,,,,3
2018/2019,2) Gesamtheitliche/Evidenzbasierte Politik,,,,3
2020/2021,2) Gesamtheitliche/Evidenzbasierte Politik,,,,3
2018/2019,3) Zusammenarbeit und Partnerschaften,,,,4
2020/2021,3) Zusammenarbeit und Partnerschaften,,,,4
2018/2019,4) Sozioökonomisches Wohlbefinden,,,,3
2020/2021,4) Sozioökonomisches Wohlbefinden,,,,4
2018/2019,5) Mobilitätsdimensionen von Krisen,,,,1
2020/2021,5) Mobilitätsdimensionen von Krisen,,,,3
2018/2019,"6) Sichere, geordnete und reguläre Migration",,,,4
2020/2021,"6) Sichere, geordnete und reguläre Migration",,,,4
