Year,Units,Stufen der Lebensmittelkette,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,1 000 Tonnen,,,,,
2011,1 000 Tonnen,,,,,
2012,1 000 Tonnen,,,,,
2013,1 000 Tonnen,,,,,
2014,1 000 Tonnen,,,,,
2015,1 000 Tonnen,,,,,
2016,1 000 Tonnen,,,,,
2017,1 000 Tonnen,,,,,
2018,1 000 Tonnen,,,,,
2019,1 000 Tonnen,,,,,
2020,1 000 Tonnen,,,,,9147.0
2021,1 000 Tonnen,,,,,9214.0
2022,1 000 Tonnen,,,,,9040.0
2023,1 000 Tonnen,,,,,8859.0
2010,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,
2011,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,
2012,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,
2013,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,
2014,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,
2015,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,
2016,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,
2017,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,
2018,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,
2019,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,
2020,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,1877.0
2021,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,1864.0
2022,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,1978.0
2023,1 000 Tonnen,Gaststätten und Verpflegungsdienstleistungen,,,,1789.0
2010,1 000 Tonnen,Private Haushalte,,,,
2011,1 000 Tonnen,Private Haushalte,,,,
2012,1 000 Tonnen,Private Haushalte,,,,
2013,1 000 Tonnen,Private Haushalte,,,,
2014,1 000 Tonnen,Private Haushalte,,,,
2015,1 000 Tonnen,Private Haushalte,,,,
2016,1 000 Tonnen,Private Haushalte,,,,
2017,1 000 Tonnen,Private Haushalte,,,,
2018,1 000 Tonnen,Private Haushalte,,,,
2019,1 000 Tonnen,Private Haushalte,,,,
2020,1 000 Tonnen,Private Haushalte,,,,6496.0
2021,1 000 Tonnen,Private Haushalte,,,,6587.0
2022,1 000 Tonnen,Private Haushalte,,,,6289.0
2023,1 000 Tonnen,Private Haushalte,,,,6345.0
2010,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,
2011,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,
2012,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,
2013,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,
2014,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,
2015,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,
2016,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,
2017,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,
2018,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,
2019,1 000 Tonnen,Einzelhandel und andere Formen des Vertriebs,,,,
