Year,Units,Art der Abfallbehandlung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Kilogramm pro Kopf,,,,,a) Aufkommen gefährlicher Abfälle,244.0
2011,Kilogramm pro Kopf,,.,,,a) Aufkommen gefährlicher Abfälle,
2012,Kilogramm pro Kopf,,,,,a) Aufkommen gefährlicher Abfälle,273.0
2013,Kilogramm pro Kopf,,.,,,a) Aufkommen gefährlicher Abfälle,
2014,Kilogramm pro Kopf,,,,,a) Aufkommen gefährlicher Abfälle,269.0
2015,Kilogramm pro Kopf,,.,,,a) Aufkommen gefährlicher Abfälle,
2016,Kilogramm pro Kopf,,,,,a) Aufkommen gefährlicher Abfälle,280.0
2017,Kilogramm pro Kopf,,.,,,a) Aufkommen gefährlicher Abfälle,
2018,Kilogramm pro Kopf,,,,,a) Aufkommen gefährlicher Abfälle,292.0
2019,Kilogramm pro Kopf,,.,,,a) Aufkommen gefährlicher Abfälle,
2020,Kilogramm pro Kopf,,,,,a) Aufkommen gefährlicher Abfälle,282.0
2021,Kilogramm pro Kopf,,.,,,a) Aufkommen gefährlicher Abfälle,
2022,Kilogramm pro Kopf,,,,,a) Aufkommen gefährlicher Abfälle,272.0
2010,Prozent,,,,,b) Behandelte gefährliche Abfälle,100.0
2011,Prozent,,.,,,b) Behandelte gefährliche Abfälle,
2012,Prozent,,,,,b) Behandelte gefährliche Abfälle,100.0
2013,Prozent,,.,,,b) Behandelte gefährliche Abfälle,
2014,Prozent,,,,,b) Behandelte gefährliche Abfälle,100.0
2015,Prozent,,.,,,b) Behandelte gefährliche Abfälle,
2016,Prozent,,,,,b) Behandelte gefährliche Abfälle,100.0
2017,Prozent,,.,,,b) Behandelte gefährliche Abfälle,
2018,Prozent,,,,,b) Behandelte gefährliche Abfälle,100.0
2019,Prozent,,.,,,b) Behandelte gefährliche Abfälle,
2020,Prozent,,,,,b) Behandelte gefährliche Abfälle,100.0
2021,Prozent,,.,,,b) Behandelte gefährliche Abfälle,
2022,Prozent,,,,,b) Behandelte gefährliche Abfälle,100.0
2010,Prozent,Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,13.6
2011,Prozent,Energierückgewinnung,.,,,b) Behandelte gefährliche Abfälle,
2012,Prozent,Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,15.0
2013,Prozent,Energierückgewinnung,.,,,b) Behandelte gefährliche Abfälle,
2014,Prozent,Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,13.6
2015,Prozent,Energierückgewinnung,.,,,b) Behandelte gefährliche Abfälle,
2016,Prozent,Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,13.7
2017,Prozent,Energierückgewinnung,.,,,b) Behandelte gefährliche Abfälle,
2018,Prozent,Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,14.0
2019,Prozent,Energierückgewinnung,.,,,b) Behandelte gefährliche Abfälle,
2020,Prozent,Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,14.3
2021,Prozent,Energierückgewinnung,.,,,b) Behandelte gefährliche Abfälle,
2022,Prozent,Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,13.9
2010,Prozent,Verbrennung,,,,b) Behandelte gefährliche Abfälle,5.9
2011,Prozent,Verbrennung,.,,,b) Behandelte gefährliche Abfälle,
2012,Prozent,Verbrennung,,,,b) Behandelte gefährliche Abfälle,5.4
2013,Prozent,Verbrennung,.,,,b) Behandelte gefährliche Abfälle,
2014,Prozent,Verbrennung,,,,b) Behandelte gefährliche Abfälle,6.2
2015,Prozent,Verbrennung,.,,,b) Behandelte gefährliche Abfälle,
2016,Prozent,Verbrennung,,,,b) Behandelte gefährliche Abfälle,4.9
2017,Prozent,Verbrennung,.,,,b) Behandelte gefährliche Abfälle,
2018,Prozent,Verbrennung,,,,b) Behandelte gefährliche Abfälle,4.2
2019,Prozent,Verbrennung,.,,,b) Behandelte gefährliche Abfälle,
2020,Prozent,Verbrennung,,,,b) Behandelte gefährliche Abfälle,4.9
2021,Prozent,Verbrennung,.,,,b) Behandelte gefährliche Abfälle,
2022,Prozent,Verbrennung,,,,b) Behandelte gefährliche Abfälle,4.4
2010,Prozent,Verwertung anderer als die der Energierückgewinnung,r,,,b) Behandelte gefährliche Abfälle,59.5
2011,Prozent,Verwertung anderer als die der Energierückgewinnung,.,,,b) Behandelte gefährliche Abfälle,
2012,Prozent,Verwertung anderer als die der Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,56.5
2013,Prozent,Verwertung anderer als die der Energierückgewinnung,.,,,b) Behandelte gefährliche Abfälle,
2014,Prozent,Verwertung anderer als die der Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,57.6
2015,Prozent,Verwertung anderer als die der Energierückgewinnung,.,,,b) Behandelte gefährliche Abfälle,
2016,Prozent,Verwertung anderer als die der Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,57.1
2017,Prozent,Verwertung anderer als die der Energierückgewinnung,.,,,b) Behandelte gefährliche Abfälle,
2018,Prozent,Verwertung anderer als die der Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,56.0
2019,Prozent,Verwertung anderer als die der Energierückgewinnung,.,,,b) Behandelte gefährliche Abfälle,
2020,Prozent,Verwertung anderer als die der Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,55.5
2021,Prozent,Verwertung anderer als die der Energierückgewinnung,.,,,b) Behandelte gefährliche Abfälle,
2022,Prozent,Verwertung anderer als die der Energierückgewinnung,,,,b) Behandelte gefährliche Abfälle,56.0
2010,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,,,,b) Behandelte gefährliche Abfälle,20.9
2011,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,.,,,b) Behandelte gefährliche Abfälle,
2012,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,,,,b) Behandelte gefährliche Abfälle,23.1
2013,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,.,,,b) Behandelte gefährliche Abfälle,
2014,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,,,,b) Behandelte gefährliche Abfälle,22.7
2015,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,.,,,b) Behandelte gefährliche Abfälle,
2016,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,,,,b) Behandelte gefährliche Abfälle,24.3
2017,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,.,,,b) Behandelte gefährliche Abfälle,
2018,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,,,,b) Behandelte gefährliche Abfälle,25.9
2019,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,.,,,b) Behandelte gefährliche Abfälle,
2020,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,,,,b) Behandelte gefährliche Abfälle,25.4
2021,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,.,,,b) Behandelte gefährliche Abfälle,
2022,Prozent,Ablagerung auf oder im Boden und Bodenbehandlung und Freisetzung in Gewässern,,,,b) Behandelte gefährliche Abfälle,25.7
