Year,Todesursache,Value
2010,,0.2
2011,,0.1
2012,,0.2
2013,,0.2
2014,,0.1
2015,,0.2
2016,,0.1
2017,,0.2
2018,,0.2
2019,,0.2
2020,,0.1
2021,,0.4
2022,,0.3
2023,,0.3
2010,Exposition gegenüber übermäßiger natürlicher Hitze,0.0
2011,Exposition gegenüber übermäßiger natürlicher Hitze,0.0
2012,Exposition gegenüber übermäßiger natürlicher Hitze,0.0
2013,Exposition gegenüber übermäßiger natürlicher Hitze,0.0
2014,Exposition gegenüber übermäßiger natürlicher Hitze,0.0
2015,Exposition gegenüber übermäßiger natürlicher Hitze,0.1
2016,Exposition gegenüber übermäßiger natürlicher Hitze,0.0
2017,Exposition gegenüber übermäßiger natürlicher Hitze,0.0
2018,Exposition gegenüber übermäßiger natürlicher Hitze,0.0
2019,Exposition gegenüber übermäßiger natürlicher Hitze,0.0
2020,Exposition gegenüber übermäßiger natürlicher Hitze,0.0
2021,Exposition gegenüber übermäßiger natürlicher Hitze,0.0
2022,Exposition gegenüber übermäßiger natürlicher Hitze,0.0
2023,Exposition gegenüber übermäßiger natürlicher Hitze,0.0
2010,Exposition gegenüber übermäßiger natürlicher Kälte,0.2
2011,Exposition gegenüber übermäßiger natürlicher Kälte,0.1
2012,Exposition gegenüber übermäßiger natürlicher Kälte,0.2
2013,Exposition gegenüber übermäßiger natürlicher Kälte,0.2
2014,Exposition gegenüber übermäßiger natürlicher Kälte,0.1
2015,Exposition gegenüber übermäßiger natürlicher Kälte,0.1
2016,Exposition gegenüber übermäßiger natürlicher Kälte,0.1
2017,Exposition gegenüber übermäßiger natürlicher Kälte,0.2
2018,Exposition gegenüber übermäßiger natürlicher Kälte,0.2
2019,Exposition gegenüber übermäßiger natürlicher Kälte,0.2
2020,Exposition gegenüber übermäßiger natürlicher Kälte,0.1
2021,Exposition gegenüber übermäßiger natürlicher Kälte,0.2
2022,Exposition gegenüber übermäßiger natürlicher Kälte,0.2
2023,Exposition gegenüber übermäßiger natürlicher Kälte,0.2
2010,Exposition gegenüber Sonnenlicht,0.0
2011,Exposition gegenüber Sonnenlicht,
2012,Exposition gegenüber Sonnenlicht,
2013,Exposition gegenüber Sonnenlicht,
2014,Exposition gegenüber Sonnenlicht,
2015,Exposition gegenüber Sonnenlicht,
2016,Exposition gegenüber Sonnenlicht,
2017,Exposition gegenüber Sonnenlicht,
2018,Exposition gegenüber Sonnenlicht,0.0
2019,Exposition gegenüber Sonnenlicht,0.0
2020,Exposition gegenüber Sonnenlicht,0.0
2021,Exposition gegenüber Sonnenlicht,0.0
2022,Exposition gegenüber Sonnenlicht,0.0
2023,Exposition gegenüber Sonnenlicht,
2010,Opfer von Blitzschlag,
2011,Opfer von Blitzschlag,0.0
2012,Opfer von Blitzschlag,0.0
2013,Opfer von Blitzschlag,0.0
2014,Opfer von Blitzschlag,0.0
2015,Opfer von Blitzschlag,0.0
2016,Opfer von Blitzschlag,0.0
2017,Opfer von Blitzschlag,0.0
2018,Opfer von Blitzschlag,0.0
2019,Opfer von Blitzschlag,
2020,Opfer von Blitzschlag,0.0
2021,Opfer von Blitzschlag,0.0
2022,Opfer von Blitzschlag,0.0
2023,Opfer von Blitzschlag,0.0
2010,Opfer von Erdbeben,
2011,Opfer von Erdbeben,
2012,Opfer von Erdbeben,
2013,Opfer von Erdbeben,
2014,Opfer von Erdbeben,
2015,Opfer von Erdbeben,
2016,Opfer von Erdbeben,
2017,Opfer von Erdbeben,
2018,Opfer von Erdbeben,
2019,Opfer von Erdbeben,
2020,Opfer von Erdbeben,
2021,Opfer von Erdbeben,
2022,Opfer von Erdbeben,
2023,Opfer von Erdbeben,
2010,Opfer von Vulkanausbruch,
2011,Opfer von Vulkanausbruch,
2012,Opfer von Vulkanausbruch,
2013,Opfer von Vulkanausbruch,
2014,Opfer von Vulkanausbruch,
2015,Opfer von Vulkanausbruch,
2016,Opfer von Vulkanausbruch,
2017,Opfer von Vulkanausbruch,
2018,Opfer von Vulkanausbruch,
2019,Opfer von Vulkanausbruch,
2020,Opfer von Vulkanausbruch,
2021,Opfer von Vulkanausbruch,
2022,Opfer von Vulkanausbruch,
2023,Opfer von Vulkanausbruch,
2010,"Opfer von Lawine, Erdrutsch oder anderen Erdoberflächenbewegungen",0.0
2011,"Opfer von Lawine, Erdrutsch oder anderen Erdoberflächenbewegungen",0.0
2012,"Opfer von Lawine, Erdrutsch oder anderen Erdoberflächenbewegungen",0.0
2013,"Opfer von Lawine, Erdrutsch oder anderen Erdoberflächenbewegungen",0.0
2014,"Opfer von Lawine, Erdrutsch oder anderen Erdoberflächenbewegungen",0.0
2015,"Opfer von Lawine, Erdrutsch oder anderen Erdoberflächenbewegungen",0.0
2016,"Opfer von Lawine, Erdrutsch oder anderen Erdoberflächenbewegungen",0.0
2017,"Opfer von Lawine, Erdrutsch oder anderen Erdoberflächenbewegungen",
2018,"Opfer von Lawine, Erdrutsch oder anderen Erdoberflächenbewegungen",0.0
2019,"Opfer von Lawine, Erdrutsch oder anderen Erdoberflächenbewegungen",0.0
2020,"Opfer von Lawine, Erdrutsch oder anderen Erdoberflächenbewegungen",
2021,"Opfer von Lawine, Erdrutsch oder anderen Erdoberflächenbewegungen",
2022,"Opfer von Lawine, Erdrutsch oder anderen Erdoberflächenbewegungen",0.0
2023,"Opfer von Lawine, Erdrutsch oder anderen Erdoberflächenbewegungen",
2010,Opfer von Sturmkatastrophe,0.0
2011,Opfer von Sturmkatastrophe,0.0
2012,Opfer von Sturmkatastrophe,
2013,Opfer von Sturmkatastrophe,
2014,Opfer von Sturmkatastrophe,
2015,Opfer von Sturmkatastrophe,0.0
2016,Opfer von Sturmkatastrophe,
2017,Opfer von Sturmkatastrophe,
2018,Opfer von Sturmkatastrophe,0.0
2019,Opfer von Sturmkatastrophe,0.0
2020,Opfer von Sturmkatastrophe,0.0
2021,Opfer von Sturmkatastrophe,
2022,Opfer von Sturmkatastrophe,0.0
2023,Opfer von Sturmkatastrophe,
2010,Opfer von Überschwemmung,
2011,Opfer von Überschwemmung,
2012,Opfer von Überschwemmung,
2013,Opfer von Überschwemmung,0.0
2014,Opfer von Überschwemmung,
2015,Opfer von Überschwemmung,
2016,Opfer von Überschwemmung,0.0
2017,Opfer von Überschwemmung,0.0
2018,Opfer von Überschwemmung,
2019,Opfer von Überschwemmung,
2020,Opfer von Überschwemmung,
2021,Opfer von Überschwemmung,0.2
2022,Opfer von Überschwemmung,
2023,Opfer von Überschwemmung,0.0
2010,Exposition gegenüber sonstigen oder nicht näher bezeichneten Naturkräften,0.0
2011,Exposition gegenüber sonstigen oder nicht näher bezeichneten Naturkräften,0.0
2012,Exposition gegenüber sonstigen oder nicht näher bezeichneten Naturkräften,0.0
2013,Exposition gegenüber sonstigen oder nicht näher bezeichneten Naturkräften,
2014,Exposition gegenüber sonstigen oder nicht näher bezeichneten Naturkräften,
2015,Exposition gegenüber sonstigen oder nicht näher bezeichneten Naturkräften,
2016,Exposition gegenüber sonstigen oder nicht näher bezeichneten Naturkräften,
2017,Exposition gegenüber sonstigen oder nicht näher bezeichneten Naturkräften,
2018,Exposition gegenüber sonstigen oder nicht näher bezeichneten Naturkräften,
2019,Exposition gegenüber sonstigen oder nicht näher bezeichneten Naturkräften,
2020,Exposition gegenüber sonstigen oder nicht näher bezeichneten Naturkräften,
2021,Exposition gegenüber sonstigen oder nicht näher bezeichneten Naturkräften,
2022,Exposition gegenüber sonstigen oder nicht näher bezeichneten Naturkräften,0.0
2023,Exposition gegenüber sonstigen oder nicht näher bezeichneten Naturkräften,
