Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,.,,,Plastikmüll an Stränden der deutschen Nordsee-Küste,
2011,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,.,,,Plastikmüll an Stränden der deutschen Nordsee-Küste,
2012,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,.,,,Plastikmüll an Stränden der deutschen Nordsee-Küste,
2013,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,,,,Plastikmüll an Stränden der deutschen Nordsee-Küste,113.0
2014,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,,,,Plastikmüll an Stränden der deutschen Nordsee-Küste,112.2
2015,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,,,,Plastikmüll an Stränden der deutschen Nordsee-Küste,83.25
2016,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,,,,Plastikmüll an Stränden der deutschen Nordsee-Küste,60.5
2017,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,,,,Plastikmüll an Stränden der deutschen Nordsee-Küste,63.0
2018,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,,,,Plastikmüll an Stränden der deutschen Nordsee-Küste,62.0
2019,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,,,,Plastikmüll an Stränden der deutschen Nordsee-Küste,57.0
2020,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,,,,Plastikmüll an Stränden der deutschen Nordsee-Küste,55.5
2021,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,,,,Plastikmüll an Stränden der deutschen Nordsee-Küste,43.5
2022,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,,,,Plastikmüll an Stränden der deutschen Nordsee-Küste,57.5
2023,Anzahl der Müllteile aus Plastik pro 100 m Küstenlinie,,,,Plastikmüll an Stränden der deutschen Nordsee-Küste,45.5
2010,Prozent,,,,Plastikmüll in Mägen von Eissturmvögeln,61.6
2011,Prozent,,,,Plastikmüll in Mägen von Eissturmvögeln,61.4
2012,Prozent,,,,Plastikmüll in Mägen von Eissturmvögeln,56.6
2013,Prozent,,,,Plastikmüll in Mägen von Eissturmvögeln,56.4
2014,Prozent,,,,Plastikmüll in Mägen von Eissturmvögeln,59.5
2015,Prozent,,,,Plastikmüll in Mägen von Eissturmvögeln,59.0
2016,Prozent,,,,Plastikmüll in Mägen von Eissturmvögeln,59.1
2017,Prozent,,,,Plastikmüll in Mägen von Eissturmvögeln,58.9
2018,Prozent,,,,Plastikmüll in Mägen von Eissturmvögeln,55.8
2019,Prozent,,,,Plastikmüll in Mägen von Eissturmvögeln,51.2
2020,Prozent,,,,Plastikmüll in Mägen von Eissturmvögeln,50.0
2021,Prozent,,,,Plastikmüll in Mägen von Eissturmvögeln,48.5
