Year,Zeitreihe,Meer,Value
2010,Nachhaltig befischte Fischbestände,,37.9
2011,Nachhaltig befischte Fischbestände,,53.3
2012,Nachhaltig befischte Fischbestände,,40.0
2013,Nachhaltig befischte Fischbestände,,60.0
2014,Nachhaltig befischte Fischbestände,,50.0
2015,Nachhaltig befischte Fischbestände,,55.2
2016,Nachhaltig befischte Fischbestände,,56.7
2010,Nachhaltig befischte Fischbestände,Nordsee,42.9
2011,Nachhaltig befischte Fischbestände,Nordsee,54.5
2012,Nachhaltig befischte Fischbestände,Nordsee,40.9
2013,Nachhaltig befischte Fischbestände,Nordsee,59.1
2014,Nachhaltig befischte Fischbestände,Nordsee,40.9
2015,Nachhaltig befischte Fischbestände,Nordsee,57.1
2016,Nachhaltig befischte Fischbestände,Nordsee,59.1
2010,Nachhaltig befischte Fischbestände,Ostsee,25.0
2011,Nachhaltig befischte Fischbestände,Ostsee,50.0
2012,Nachhaltig befischte Fischbestände,Ostsee,37.5
2013,Nachhaltig befischte Fischbestände,Ostsee,62.5
2014,Nachhaltig befischte Fischbestände,Ostsee,75.0
2015,Nachhaltig befischte Fischbestände,Ostsee,50.0
2016,Nachhaltig befischte Fischbestände,Ostsee,50.0
2010,Untersuchte Fischbestände zu den wirtschaftlich genutzten Beständen,,37.2
2011,Untersuchte Fischbestände zu den wirtschaftlich genutzten Beständen,,38.5
2012,Untersuchte Fischbestände zu den wirtschaftlich genutzten Beständen,,38.5
2013,Untersuchte Fischbestände zu den wirtschaftlich genutzten Beständen,,38.5
2014,Untersuchte Fischbestände zu den wirtschaftlich genutzten Beständen,,38.5
2015,Untersuchte Fischbestände zu den wirtschaftlich genutzten Beständen,,37.2
2016,Untersuchte Fischbestände zu den wirtschaftlich genutzten Beständen,,38.5
