Year,Units,Art der Biomasse,COMMENT_OBS_0,Series,Value
2010,Millionen Tonnen Kohlenstoff,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1571.0
2011,Millionen Tonnen Kohlenstoff,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1584.9
2012,Millionen Tonnen Kohlenstoff,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1598.2
2013,Millionen Tonnen Kohlenstoff,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1611.9
2014,Millionen Tonnen Kohlenstoff,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1637.0
2015,Millionen Tonnen Kohlenstoff,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1645.0
2016,Millionen Tonnen Kohlenstoff,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1654.0
2017,Millionen Tonnen Kohlenstoff,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1662.0
2018,Millionen Tonnen Kohlenstoff,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1668.0
2019,Millionen Tonnen Kohlenstoff,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1671.0
2020,Millionen Tonnen Kohlenstoff,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1676.0
2021,Millionen Tonnen Kohlenstoff,,,Gesamtbestand der obererdigen Biomasse in Wäldern,1681.0
2012,Prozent,,,Waldfläche in Schutzgebieten,0.7
2015,Prozent,,,Waldfläche in Schutzgebieten,0.9
2018,Prozent,,,Waldfläche in Schutzgebieten,0.9
2010,Prozent,,,Jährliche Veränderung der Waldfläche,0.1
2011,Prozent,,,Jährliche Veränderung der Waldfläche,0.1
2012,Prozent,,,Jährliche Veränderung der Waldfläche,0.2
2013,Prozent,,,Jährliche Veränderung der Waldfläche,0.9
2014,Prozent,,,Jährliche Veränderung der Waldfläche,0.2
2015,Prozent,,,Jährliche Veränderung der Waldfläche,0.2
2016,Prozent,,X,Jährliche Veränderung der Waldfläche,
2017,Prozent,,,Jährliche Veränderung der Waldfläche,0.2
2018,Prozent,,,Jährliche Veränderung der Waldfläche,0.2
2019,Prozent,,0,Jährliche Veränderung der Waldfläche,0.0
2020,Prozent,,,Jährliche Veränderung der Waldfläche,0.1
2021,Prozent,,,Jährliche Veränderung der Waldfläche,0.1
2022,Prozent,,,Jährliche Veränderung der Waldfläche,0.2
2010,Prozent,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,67.5
2011,Prozent,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,67.2
2012,Prozent,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,66.9
2013,Prozent,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,66.9
2014,Prozent,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,66.6
2015,Prozent,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,66.2
2016,Prozent,,r,Waldflächen mit einem unabhängig geprüften Wald-Management-System,66.9
2017,Prozent,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,67.2
2018,Prozent,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,68.6
2019,Prozent,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,69.1
2020,Prozent,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,73.9
2021,Prozent,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,79.2
2022,Prozent,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,79.4
2023,Prozent,,,Waldflächen mit einem unabhängig geprüften Wald-Management-System,79.4
2010,Millionen Tonnen Kohlenstoff,Stehendes Holz,,Gesamtbestand der obererdigen Biomasse in Wäldern,1075.0
2011,Millionen Tonnen Kohlenstoff,Stehendes Holz,,Gesamtbestand der obererdigen Biomasse in Wäldern,1084.6
2012,Millionen Tonnen Kohlenstoff,Stehendes Holz,,Gesamtbestand der obererdigen Biomasse in Wäldern,1093.7
2013,Millionen Tonnen Kohlenstoff,Stehendes Holz,,Gesamtbestand der obererdigen Biomasse in Wäldern,1103.1
2014,Millionen Tonnen Kohlenstoff,Stehendes Holz,,Gesamtbestand der obererdigen Biomasse in Wäldern,890.0
2015,Millionen Tonnen Kohlenstoff,Stehendes Holz,r,Gesamtbestand der obererdigen Biomasse in Wäldern,895.0
2016,Millionen Tonnen Kohlenstoff,Stehendes Holz,r,Gesamtbestand der obererdigen Biomasse in Wäldern,900.0
2017,Millionen Tonnen Kohlenstoff,Stehendes Holz,r,Gesamtbestand der obererdigen Biomasse in Wäldern,905.0
2018,Millionen Tonnen Kohlenstoff,Stehendes Holz,r,Gesamtbestand der obererdigen Biomasse in Wäldern,908.0
2019,Millionen Tonnen Kohlenstoff,Stehendes Holz,r,Gesamtbestand der obererdigen Biomasse in Wäldern,910.0
2020,Millionen Tonnen Kohlenstoff,Stehendes Holz,r,Gesamtbestand der obererdigen Biomasse in Wäldern,913.0
2021,Millionen Tonnen Kohlenstoff,Stehendes Holz,p,Gesamtbestand der obererdigen Biomasse in Wäldern,916.0
2010,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,,Gesamtbestand der obererdigen Biomasse in Wäldern,252.2
2011,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,,Gesamtbestand der obererdigen Biomasse in Wäldern,254.4
2012,Millionen Tonnen Kohlenstoff,Sonstige Holzbiomasse,,Gesamtbestand der obererdigen Biomasse in Wäldern,256.6
