Year,Klassifikation,Value
2015,,93.24
2018,,93.11
2015,Gebiete der Klasse 3 (Höhe 2&nbsp500 - 3&nbsp500 Meter),0.0
2018,Gebiete der Klasse 3 (Höhe 2&nbsp500 - 3&nbsp500 Meter),0.0
2015,Gebiete der Klasse 4 (Höhe 1&nbsp500 - 2&nbsp500 Meter),66.88
2018,Gebiete der Klasse 4 (Höhe 1&nbsp500 - 2&nbsp500 Meter),66.16
2015,Gebiete der Klasse 5 (Höhe 1&nbsp000 - 1&nbsp500 Meter),96.63
2018,Gebiete der Klasse 5 (Höhe 1&nbsp000 - 1&nbsp500 Meter),95.93
2015,Gebiete der Klasse 6 (Höhe 300 - 1&nbsp000 Meter),93.35
2018,Gebiete der Klasse 6 (Höhe 300 - 1&nbsp000 Meter),93.25
