Year,Zeitreihe,Rechtsvorschrift,Value
2010,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über die biologische Vielfalt,1
2011,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über die biologische Vielfalt,1
2012,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über die biologische Vielfalt,1
2013,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über die biologische Vielfalt,1
2014,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über die biologische Vielfalt,1
2015,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über die biologische Vielfalt,1
2016,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über die biologische Vielfalt,1
2017,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über die biologische Vielfalt,1
2018,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über die biologische Vielfalt,1
2019,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über die biologische Vielfalt,1
2020,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über die biologische Vielfalt,1
2021,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über die biologische Vielfalt,1
2022,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über die biologische Vielfalt,1
2010,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena-Protokoll,1
2011,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena-Protokoll,1
2012,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena-Protokoll,1
2013,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena-Protokoll,1
2014,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena-Protokoll,1
2015,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena-Protokoll,1
2016,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena-Protokoll,1
2017,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena-Protokoll,1
2018,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena-Protokoll,1
2019,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena-Protokoll,1
2020,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena-Protokoll,1
2021,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena-Protokoll,1
2022,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Cartagena-Protokoll,1
2010,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Internationales Pflanzenschutzübereinkommen,1
2011,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Internationales Pflanzenschutzübereinkommen,1
2012,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Internationales Pflanzenschutzübereinkommen,1
2013,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Internationales Pflanzenschutzübereinkommen,1
2014,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Internationales Pflanzenschutzübereinkommen,1
2015,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Internationales Pflanzenschutzübereinkommen,1
2016,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Internationales Pflanzenschutzübereinkommen,1
2017,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Internationales Pflanzenschutzübereinkommen,1
2018,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Internationales Pflanzenschutzübereinkommen,1
2019,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Internationales Pflanzenschutzübereinkommen,1
2020,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Internationales Pflanzenschutzübereinkommen,1
2021,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Internationales Pflanzenschutzübereinkommen,1
2022,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Internationales Pflanzenschutzübereinkommen,1
2010,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über gesundheitspolizeiliche und pflanzenschutzrechtliche Maßnahmen der Welthandelsorganisation,1
2011,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über gesundheitspolizeiliche und pflanzenschutzrechtliche Maßnahmen der Welthandelsorganisation,1
2012,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über gesundheitspolizeiliche und pflanzenschutzrechtliche Maßnahmen der Welthandelsorganisation,1
2013,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über gesundheitspolizeiliche und pflanzenschutzrechtliche Maßnahmen der Welthandelsorganisation,1
2014,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über gesundheitspolizeiliche und pflanzenschutzrechtliche Maßnahmen der Welthandelsorganisation,1
2015,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über gesundheitspolizeiliche und pflanzenschutzrechtliche Maßnahmen der Welthandelsorganisation,1
2016,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über gesundheitspolizeiliche und pflanzenschutzrechtliche Maßnahmen der Welthandelsorganisation,1
2017,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über gesundheitspolizeiliche und pflanzenschutzrechtliche Maßnahmen der Welthandelsorganisation,1
2018,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über gesundheitspolizeiliche und pflanzenschutzrechtliche Maßnahmen der Welthandelsorganisation,1
2019,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über gesundheitspolizeiliche und pflanzenschutzrechtliche Maßnahmen der Welthandelsorganisation,1
2020,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über gesundheitspolizeiliche und pflanzenschutzrechtliche Maßnahmen der Welthandelsorganisation,1
2021,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über gesundheitspolizeiliche und pflanzenschutzrechtliche Maßnahmen der Welthandelsorganisation,1
2022,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über gesundheitspolizeiliche und pflanzenschutzrechtliche Maßnahmen der Welthandelsorganisation,1
2010,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Weltorganisation für Tiergesundheit,1
2011,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Weltorganisation für Tiergesundheit,1
2012,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Weltorganisation für Tiergesundheit,1
2013,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Weltorganisation für Tiergesundheit,1
2014,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Weltorganisation für Tiergesundheit,1
2015,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Weltorganisation für Tiergesundheit,1
2016,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Weltorganisation für Tiergesundheit,1
2017,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Weltorganisation für Tiergesundheit,1
2018,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Weltorganisation für Tiergesundheit,1
2019,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Weltorganisation für Tiergesundheit,1
2020,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Weltorganisation für Tiergesundheit,1
2021,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Weltorganisation für Tiergesundheit,1
2022,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Weltorganisation für Tiergesundheit,1
2010,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über den internationalen Handel mit gefährdeten Arten freilebender Tiere und Pflanzen,1
2011,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über den internationalen Handel mit gefährdeten Arten freilebender Tiere und Pflanzen,1
2012,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über den internationalen Handel mit gefährdeten Arten freilebender Tiere und Pflanzen,1
2013,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über den internationalen Handel mit gefährdeten Arten freilebender Tiere und Pflanzen,1
2014,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über den internationalen Handel mit gefährdeten Arten freilebender Tiere und Pflanzen,1
2015,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über den internationalen Handel mit gefährdeten Arten freilebender Tiere und Pflanzen,1
2016,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über den internationalen Handel mit gefährdeten Arten freilebender Tiere und Pflanzen,1
2017,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über den internationalen Handel mit gefährdeten Arten freilebender Tiere und Pflanzen,1
2018,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über den internationalen Handel mit gefährdeten Arten freilebender Tiere und Pflanzen,1
2019,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über den internationalen Handel mit gefährdeten Arten freilebender Tiere und Pflanzen,1
