Year,Zeitreihe,Value
2010,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,22601
2011,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,20687
2012,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,21045
2013,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,21364
2014,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,23170
2015,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,23093
2016,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,24248
2017,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,29644
2018,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,31738
2019,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,30397
2020,Ausgestellte Dokumente für die Ein- und Ausfuhr von geschützten Arten,19710
2010,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,1365
2011,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,1208
2012,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,1112
2013,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,1105
2014,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,852
2015,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,1301
2016,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,915
2017,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,934
2018,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,1294
2019,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,1444
2020,Beschlagnahmungen durch Behörden im Rahmen des Artenschutzes,1240
