Year,Units,Geschlecht,Altersklasse,Form der Ausbeutung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Je 100 000 Einwohner/-innen,,,,,,,0.8
2011,Je 100 000 Einwohner/-innen,,,,,,,0.82
2012,Je 100 000 Einwohner/-innen,,,,,,,0.76
2013,Je 100 000 Einwohner/-innen,,,,|,,,0.75
2014,Je 100 000 Einwohner/-innen,,,,,,,0.72
2015,Je 100 000 Einwohner/-innen,,,,,,,0.58
2016,Je 100 000 Einwohner/-innen,,,,,,,0.65
2017,Je 100 000 Einwohner/-innen,,,,,,,0.81
2018,Je 100 000 Einwohner/-innen,,,,,,,0.6
2019,Je 100 000 Einwohner/-innen,,,,,,,0.57
2020,Je 100 000 Einwohner/-innen,,,,,,,0.58
2021,Je 100 000 Einwohner/-innen,,,,,,,0.68
2022,Je 100 000 Einwohner/-innen,,,,,,,1.8
2023,Je 100 000 Einwohner/-innen,,,,,,,0.72
2024,Je 100 000 Einwohner/-innen,,,,|,,,0.76
2010,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.05
2011,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.04
2012,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.02
2013,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,|,,,0.08
2014,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.03
2015,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.07
2016,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.06
2017,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.22
2018,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.08
2019,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.05
2020,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.09
2021,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.18
2022,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,1.22
2023,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,,,,0.22
2024,Je 100 000 Einwohner/-innen,,,Arbeitsausbeutung,|,,,0.2
2010,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.02
2011,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.06
2012,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.02
2013,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,|,,,0.03
2014,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.01
2015,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.02
2016,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.03
2017,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.06
2018,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.02
2019,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.05
2020,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.04
2021,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.17
2022,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.63
2023,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,,,,0.12
2024,Je 100 000 Einwohner/-innen,Weiblich,,Arbeitsausbeutung,|,,,0.06
2010,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.08
2011,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.02
2012,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.01
2013,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,|,,,0.12
2014,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.06
2015,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.11
2016,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.08
2017,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.38
2018,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.13
2019,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.06
2020,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.13
2021,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.18
2022,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,1.82
2023,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,,,,0.31
2024,Je 100 000 Einwohner/-innen,Männlich,,Arbeitsausbeutung,|,,,0.35
2010,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2011,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2012,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2013,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2014,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2015,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2016,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2017,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2018,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
2019,Je 100 000 Einwohner/-innen,Unbekannt,,Arbeitsausbeutung,.,,,
