Year,Geschlecht,Value
2010,,18.23
2011,,18.55
2012,,18.83
2013,,19.55
2014,,20.53
2015,,21.76
2016,,22.82
2017,,23.98
2018,,23.89
2019,,23.08
2020,,23.52
2021,,22.59
2022,,24.06
2010,Weiblich,19.61
2011,Weiblich,19.3
2012,Weiblich,20.37
2013,Weiblich,20.07
2014,Weiblich,21.82
2015,Weiblich,21.09
2016,Weiblich,22.08
2017,Weiblich,22.25
2018,Weiblich,22.46
2019,Weiblich,22.18
2020,Weiblich,23.54
2021,Weiblich,19.73
2022,Weiblich,12.18
2010,Männlich,18.15
2011,Männlich,18.5
2012,Männlich,18.73
2013,Männlich,19.51
2014,Männlich,20.45
2015,Männlich,21.8
2016,Männlich,22.86
2017,Männlich,24.08
2018,Männlich,23.99
2019,Männlich,23.14
2020,Männlich,23.52
2021,Männlich,22.76
2022,Männlich,25.45
