Year,Zeitreihe,Ausgang des Antragsverfahrens,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Eingegangene Anträge,,.,,,
2011,Eingegangene Anträge,,.,,,
2012,Eingegangene Anträge,,.,,,
2013,Eingegangene Anträge,,.,,,
2014,Eingegangene Anträge,,.,,,
2015,Eingegangene Anträge,,.,,,
2016,Eingegangene Anträge,,,,,61694.0
2017,Eingegangene Anträge,,,,,68538.0
2018,Eingegangene Anträge,,,,,88196.0
2019,Eingegangene Anträge,,,,,78533.0
2020,Eingegangene Anträge,,,,,100349.0
2021,Eingegangene Anträge,,,,,83997.0
2010,Abschließend bearbeitete Anträge,,.,,,
2011,Abschließend bearbeitete Anträge,,.,,,
2012,Abschließend bearbeitete Anträge,,.,,,
2013,Abschließend bearbeitete Anträge,,.,,,
2014,Abschließend bearbeitete Anträge,,.,,,
2015,Abschließend bearbeitete Anträge,,.,,,
2016,Abschließend bearbeitete Anträge,,,,,66220.0
2017,Abschließend bearbeitete Anträge,,,,,70423.0
2018,Abschließend bearbeitete Anträge,,,,,69477.0
2019,Abschließend bearbeitete Anträge,,,,,82684.0
2020,Abschließend bearbeitete Anträge,,,,,89597.0
2021,Abschließend bearbeitete Anträge,,,,,87166.0
2010,Abschließend bearbeitete Anträge,Zulässige Anträge,.,,,
2011,Abschließend bearbeitete Anträge,Zulässige Anträge,.,,,
2012,Abschließend bearbeitete Anträge,Zulässige Anträge,.,,,
2013,Abschließend bearbeitete Anträge,Zulässige Anträge,.,,,
2014,Abschließend bearbeitete Anträge,Zulässige Anträge,.,,,
2015,Abschließend bearbeitete Anträge,Zulässige Anträge,.,,,
2016,Abschließend bearbeitete Anträge,Zulässige Anträge,,,,53012.0
2017,Abschließend bearbeitete Anträge,Zulässige Anträge,,,,57413.0
2018,Abschließend bearbeitete Anträge,Zulässige Anträge,,,,51859.0
2019,Abschließend bearbeitete Anträge,Zulässige Anträge,,,,65444.0
2020,Abschließend bearbeitete Anträge,Zulässige Anträge,,,,75206.0
2021,Abschließend bearbeitete Anträge,Zulässige Anträge,,,,70654.0
2010,Abschließend bearbeitete Anträge,Abgelehnte Anträge,.,,,
2011,Abschließend bearbeitete Anträge,Abgelehnte Anträge,.,,,
2012,Abschließend bearbeitete Anträge,Abgelehnte Anträge,.,,,
2013,Abschließend bearbeitete Anträge,Abgelehnte Anträge,.,,,
2014,Abschließend bearbeitete Anträge,Abgelehnte Anträge,.,,,
2015,Abschließend bearbeitete Anträge,Abgelehnte Anträge,.,,,
2016,Abschließend bearbeitete Anträge,Abgelehnte Anträge,,,,13208.0
2017,Abschließend bearbeitete Anträge,Abgelehnte Anträge,,,,13010.0
2018,Abschließend bearbeitete Anträge,Abgelehnte Anträge,,,,17618.0
2019,Abschließend bearbeitete Anträge,Abgelehnte Anträge,,,,17240.0
2020,Abschließend bearbeitete Anträge,Abgelehnte Anträge,,,,14391.0
2021,Abschließend bearbeitete Anträge,Abgelehnte Anträge,,,,16512.0
