Year,Units,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2010,Prozent,,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2011,Prozent,,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2012,Prozent,,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2013,Prozent,,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2014,Prozent,,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2015,Prozent,,,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,4.65
2016,Prozent,,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2017,Prozent,,,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,3.66
2018,Prozent,,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2019,Prozent,,,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,4.67
2020,Prozent,,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2021,Prozent,,,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,3.86
2022,Prozent,,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2023,Prozent,,,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,11.56
2010,Prozent,Weiblich,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2011,Prozent,Weiblich,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2012,Prozent,Weiblich,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2013,Prozent,Weiblich,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2014,Prozent,Weiblich,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2015,Prozent,Weiblich,,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,4.89
2016,Prozent,Weiblich,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2017,Prozent,Weiblich,,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,3.75
2018,Prozent,Weiblich,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2019,Prozent,Weiblich,,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,4.62
2020,Prozent,Weiblich,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2021,Prozent,Weiblich,,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,3.04
2022,Prozent,Weiblich,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2023,Prozent,Weiblich,,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,10.2
2010,Prozent,Männlich,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2011,Prozent,Männlich,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2012,Prozent,Männlich,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2013,Prozent,Männlich,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2014,Prozent,Männlich,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2015,Prozent,Männlich,,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,4.36
2016,Prozent,Männlich,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2017,Prozent,Männlich,,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,3.57
2018,Prozent,Männlich,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2019,Prozent,Männlich,,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,4.56
2020,Prozent,Männlich,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2021,Prozent,Männlich,,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,4.68
2022,Prozent,Männlich,.,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,
2023,Prozent,Männlich,,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,12.94
2019,Prozent,Divers,,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,28.0
2021,Prozent,Divers,,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,31.19
2023,Prozent,Divers,,,,population who had the impression that public officials were corruptible during their interactions with public authorities in the previous two years,20.85
2010,Anzahl,,s,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,354.0
2011,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,326.0
2012,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,191.0
2013,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,237.0
2014,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,125.0
2015,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,214.0
2016,Anzahl,,.,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,
2017,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,318.0
2018,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,173.0
2019,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,334.0
2020,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,609.0
2021,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,524.0
2022,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,294.0
2023,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,442.0
2024,Anzahl,,,,,Tatverdächtige Privatpersonen (Geber) im Rahmen von Korruptionsstraftaten,664.0
