Year,Geschwindigkeit,Value
2010,,32.6
2011,,33.9
2012,,34.7
2013,,35.5
2014,,36.5
2015,,37.4
2016,,38.8
2017,,40.1
2018,,41.2
2019,,42.2
2010,a) Über 144 kbit/s bis unter 2 Mbit/s,4.2
2011,a) Über 144 kbit/s bis unter 2 Mbit/s,4.1
2012,a) Über 144 kbit/s bis unter 2 Mbit/s,2.6
2013,a) Über 144 kbit/s bis unter 2 Mbit/s,1.9
2014,a) Über 144 kbit/s bis unter 2 Mbit/s,1.6
2015,a) Über 144 kbit/s bis unter 2 Mbit/s,1.2
2016,a) Über 144 kbit/s bis unter 2 Mbit/s,0.8
2017,a) Über 144 kbit/s bis unter 2 Mbit/s,0.4
2018,a) Über 144 kbit/s bis unter 2 Mbit/s,4.0
2010,b) 2 Mbit/s bis unter 10 Mbit/s,18.5
2011,b) 2 Mbit/s bis unter 10 Mbit/s,19.2
2012,b) 2 Mbit/s bis unter 10 Mbit/s,18.5
2013,b) 2 Mbit/s bis unter 10 Mbit/s,13.9
2014,b) 2 Mbit/s bis unter 10 Mbit/s,14.3
2015,b) 2 Mbit/s bis unter 10 Mbit/s,9.6
2016,b) 2 Mbit/s bis unter 10 Mbit/s,7.3
2017,b) 2 Mbit/s bis unter 10 Mbit/s,6.0
2018,b) 2 Mbit/s bis unter 10 Mbit/s,4.6
2010,c) 10 Mbit/s bis unter 30 Mbit/s,8.5
2011,c) 10 Mbit/s bis unter 30 Mbit/s,7.8
2012,c) 10 Mbit/s bis unter 30 Mbit/s,9.5
2013,c) 10 Mbit/s bis unter 30 Mbit/s,14.1
2014,c) 10 Mbit/s bis unter 30 Mbit/s,12.8
2015,c) 10 Mbit/s bis unter 30 Mbit/s,16.1
2016,c) 10 Mbit/s bis unter 30 Mbit/s,16.6
2017,c) 10 Mbit/s bis unter 30 Mbit/s,15.6
2018,c) 10 Mbit/s bis unter 30 Mbit/s,13.5
2019,c) 10 Mbit/s bis unter 30 Mbit/s,11.5
2010,d) 30 Mbit/s bis unter 100 Mbit/s,1.4
2011,d) 30 Mbit/s bis unter 100 Mbit/s,2.7
2012,d) 30 Mbit/s bis unter 100 Mbit/s,3.8
2013,d) 30 Mbit/s bis unter 100 Mbit/s,4.7
2014,d) 30 Mbit/s bis unter 100 Mbit/s,5.9
2015,d) 30 Mbit/s bis unter 100 Mbit/s,7.7
2016,d) 30 Mbit/s bis unter 100 Mbit/s,9.7
2017,d) 30 Mbit/s bis unter 100 Mbit/s,12.2
2018,d) 30 Mbit/s bis unter 100 Mbit/s,14.6
2019,d) 30 Mbit/s bis unter 100 Mbit/s,16.1
2010,e) 100 Mbit/s und mehr,0.0
2011,e) 100 Mbit/s und mehr,0.1
2012,e) 100 Mbit/s und mehr,0.4
2013,e) 100 Mbit/s und mehr,0.9
2014,e) 100 Mbit/s und mehr,1.8
2015,e) 100 Mbit/s und mehr,2.8
2016,e) 100 Mbit/s und mehr,4.4
2017,e) 100 Mbit/s und mehr,5.9
2018,e) 100 Mbit/s und mehr,8.2
2019,e) 100 Mbit/s und mehr,11.1
