Year,Units,Value
2010,2015 = 100,89.1
2011,2015 = 100,91.6
2012,2015 = 100,94.7
2013,2015 = 100,98.3
2014,2015 = 100,99.4
2015,2015 = 100,100.0
2016,2015 = 100,100.8
2017,2015 = 100,103.6
2018,2015 = 100,106.0
2019,2015 = 100,107.2
2020,2015 = 100,109.7
2021,2015 = 100,113.1
2022,2015 = 100,127.6
2010,2020 = 100,
2011,2020 = 100,
2012,2020 = 100,
2013,2020 = 100,
2014,2020 = 100,
2015,2020 = 100,
2016,2020 = 100,
2017,2020 = 100,
2018,2020 = 100,
2019,2020 = 100,
2020,2020 = 100,100.0
2021,2020 = 100,103.1
2022,2020 = 100,116.0
