Year,Zeitreihe,COMMENT_OBS_0,Value
2010,Entbindungen in Krankenhäusern,,656390.0
2011,Entbindungen in Krankenhäusern,,642197.0
2012,Entbindungen in Krankenhäusern,,653215.0
2013,Entbindungen in Krankenhäusern,,661138.0
2014,Entbindungen in Krankenhäusern,,692794.0
2015,Entbindungen in Krankenhäusern,,716539.0
2016,Entbindungen in Krankenhäusern,,761777.0
2017,Entbindungen in Krankenhäusern,,762343.0
2018,Entbindungen in Krankenhäusern,,757878.0
2019,Entbindungen in Krankenhäusern,,748492.0
2020,Entbindungen in Krankenhäusern,,743899.0
2021,Entbindungen in Krankenhäusern,,765694.0
2022,Entbindungen in Krankenhäusern,,711125.0
2023,Entbindungen in Krankenhäusern,…,
2010,Lebendgeborene insgesamt,,677947.0
2011,Lebendgeborene insgesamt,,662685.0
2012,Lebendgeborene insgesamt,,673544.0
2013,Lebendgeborene insgesamt,,682069.0
2014,Lebendgeborene insgesamt,,714927.0
2015,Lebendgeborene insgesamt,,737575.0
2016,Lebendgeborene insgesamt,,792141.0
2017,Lebendgeborene insgesamt,,784901.0
2018,Lebendgeborene insgesamt,,787523.0
2019,Lebendgeborene insgesamt,,778090.0
2020,Lebendgeborene insgesamt,,773144.0
2021,Lebendgeborene insgesamt,,795492.0
2022,Lebendgeborene insgesamt,,738819.0
2023,Lebendgeborene insgesamt,,692989.0
