Year,Substanz,Grenze,Geschlecht,Series,Value
2010,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,37107
2011,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,36848
2012,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,36166
2013,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,40556
2014,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,49795
2015,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,51919
2016,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,52621
2017,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,51806
2018,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,52380
2019,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,53490
2020,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,47082
2021,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,46736
2022,Drogen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,45447
2010,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,10451
2011,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,10607
2012,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,10600
2013,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,11290
2014,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,13280
2015,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,13230
2016,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,13303
2017,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,12881
2018,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,12858
2019,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,12921
2020,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,11381
2021,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,11382
2022,Drogen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,10846
2010,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,26656
2011,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,26241
2012,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,25566
2013,Drogen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,29266
