Year,Umrechnung,Value
2010,Mittels UN-Faktoren,
2011,Mittels UN-Faktoren,11.9
2012,Mittels UN-Faktoren,11.8
2013,Mittels UN-Faktoren,11.7
2014,Mittels UN-Faktoren,11.6
2015,Mittels UN-Faktoren,11.5
2016,Mittels UN-Faktoren,11.4
2017,Mittels UN-Faktoren,11.1
2018,Mittels UN-Faktoren,11.4
2019,Mittels UN-Faktoren,11.0
2010,Mittels nationaler Faktoren,
2011,Mittels nationaler Faktoren,11.4
2012,Mittels nationaler Faktoren,11.3
2013,Mittels nationaler Faktoren,11.2
2014,Mittels nationaler Faktoren,11.1
2015,Mittels nationaler Faktoren,11.0
2016,Mittels nationaler Faktoren,10.9
2017,Mittels nationaler Faktoren,10.7
2018,Mittels nationaler Faktoren,10.9
2019,Mittels nationaler Faktoren,10.5
