Year,Art der Erkrankung,Value
2010,Sterblichkeit infolge von Durchfallerkrankungen,3.6
2011,Sterblichkeit infolge von Durchfallerkrankungen,5.7
2012,Sterblichkeit infolge von Durchfallerkrankungen,6.9
2013,Sterblichkeit infolge von Durchfallerkrankungen,7.1
2014,Sterblichkeit infolge von Durchfallerkrankungen,6.3
2015,Sterblichkeit infolge von Durchfallerkrankungen,7.0
2016,Sterblichkeit infolge von Durchfallerkrankungen,5.7
2017,Sterblichkeit infolge von Durchfallerkrankungen,5.4
2018,Sterblichkeit infolge von Durchfallerkrankungen,5.1
2010,Sterblichkeit infolge von intestinalen Nematodeninfektionen,0.0
2011,Sterblichkeit infolge von intestinalen Nematodeninfektionen,0.0
2012,Sterblichkeit infolge von intestinalen Nematodeninfektionen,0.0
2013,Sterblichkeit infolge von intestinalen Nematodeninfektionen,0.0
2014,Sterblichkeit infolge von intestinalen Nematodeninfektionen,0.0
2015,Sterblichkeit infolge von intestinalen Nematodeninfektionen,0.0
2016,Sterblichkeit infolge von intestinalen Nematodeninfektionen,0.0
2017,Sterblichkeit infolge von intestinalen Nematodeninfektionen,0.0
2018,Sterblichkeit infolge von intestinalen Nematodeninfektionen,0.0
2010,Sterblichkeit infolge von Energie- und Eiweißmangelernährung,0.3
2011,Sterblichkeit infolge von Energie- und Eiweißmangelernährung,0.3
2012,Sterblichkeit infolge von Energie- und Eiweißmangelernährung,0.3
2013,Sterblichkeit infolge von Energie- und Eiweißmangelernährung,0.3
2014,Sterblichkeit infolge von Energie- und Eiweißmangelernährung,0.3
2015,Sterblichkeit infolge von Energie- und Eiweißmangelernährung,0.5
2016,Sterblichkeit infolge von Energie- und Eiweißmangelernährung,0.5
2017,Sterblichkeit infolge von Energie- und Eiweißmangelernährung,0.7
2018,Sterblichkeit infolge von Energie- und Eiweißmangelernährung,0.8
